ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,36,17,29,27,5.72205e-05,66676,4671124,568,68,264.76,Y
../benchmarks/raycasting51,0,0,1,0,0,0,1,0,34,15,24,19,0.234375,65920,3741562,485,49,271.29,Y
../benchmarks/raycasting52,0,0,1,0,0,0,1,1,34,16,25,22,0.234375,65128,3859578,496,57,264.2,Y
../benchmarks/raycasting53,0,0,1,0,0,0,1,2,35,17,26,29,0.234375,68108,3986530,515,74,291.71,Y
../benchmarks/raycasting54,0,0,1,0,0,1,0,0,34,16,26,16,5.72205e-05,63881,3901644,515,41,280.5,Y
../benchmarks/raycasting55,0,0,1,0,0,1,0,1,35,16,28,18,5.72205e-05,63285,4307788,540,47,259.47,Y
../benchmarks/raycasting56,0,0,1,0,0,1,0,2,36,17,28,25,5.72205e-05,66379,4672312,569,64,247.95,Y
../benchmarks/raycasting57,0,0,1,0,0,1,1,0,34,15,24,18,0.234375,65616,3741562,485,47,288.35,Y
../benchmarks/raycasting58,0,0,1,0,0,1,1,1,34,15,25,21,0.234375,64762,3859578,496,53,302.48,Y
../benchmarks/raycasting59,0,0,1,0,0,1,1,2,35,16,26,27,0.234375,67726,3986530,515,70,283.2,Y
../benchmarks/raycasting60,0,0,1,0,1,0,0,0,33,15,24,17,5.72205e-05,67720,2805772,499,43,246.06,Y
../benchmarks/raycasting61,0,0,1,0,1,0,0,1,34,16,27,20,5.72205e-05,63391,4233356,533,51,266.66,Y
../benchmarks/raycasting62,0,0,1,0,1,0,0,2,36,17,28,27,5.72205e-05,66521,4596692,561,68,257.0,Y
../benchmarks/raycasting63,0,0,1,0,1,0,1,0,33,15,22,19,0.234375,69446,2644602,468,49,261.7,Y
../benchmarks/raycasting64,0,0,1,0,1,0,1,1,33,15,24,22,0.234375,64955,3784058,488,57,268.24,Y
../benchmarks/raycasting65,0,0,1,0,1,0,1,2,35,16,24,29,0.234375,67921,3911010,507,74,285.87,Y
../benchmarks/raycasting66,0,0,1,0,1,1,0,0,32,15,24,16,5.72205e-05,67406,2804940,498,41,249.62,Y
../benchmarks/raycasting67,0,0,1,0,1,1,0,1,34,16,27,18,5.72205e-05,63051,4232524,532,47,264.41,Y
../benchmarks/raycasting68,0,0,1,0,1,1,0,2,35,16,27,25,5.72205e-05,66117,4597048,561,64,265.67,Y
../benchmarks/raycasting69,0,0,1,0,1,1,1,0,32,15,22,18,0.234375,69203,2644602,468,47,304.41,Y
../benchmarks/raycasting70,0,0,1,0,1,1,1,1,33,15,24,21,0.234375,64498,3784058,488,53,291.54,Y
../benchmarks/raycasting71,0,0,1,0,1,1,1,2,35,16,24,27,0.234375,67598,3911010,507,70,269.61,Y
../benchmarks/raycasting72,0,0,1,1,0,0,0,0,36,17,30,17,5.72205e-05,65315,5451468,598,43,248.57,Y
../benchmarks/raycasting73,0,0,1,1,0,0,0,1,37,17,32,20,5.72205e-05,64732,5830476,623,51,270.33,Y
../benchmarks/raycasting74,0,0,1,1,0,0,0,2,38,18,32,27,5.72205e-05,67872,6193812,651,68,240.84,Y
../benchmarks/raycasting75,0,0,1,1,0,0,1,0,36,16,27,19,0.234375,66733,4969082,553,49,267.58,Y
../benchmarks/raycasting76,0,0,1,1,0,0,1,1,36,16,28,22,0.234375,65959,5059962,564,57,254.84,Y
../benchmarks/raycasting77,0,0,1,1,0,0,1,2,37,17,29,29,0.234375,69058,5186914,583,74,268.74,Y
../benchmarks/raycasting78,0,0,1,1,0,1,0,0,36,17,30,16,5.72205e-05,65137,5451468,598,41,254.0,Y
../benchmarks/raycasting79,0,0,1,1,0,1,0,1,37,17,32,18,5.72205e-05,64461,5830476,623,47,256.01,Y
../benchmarks/raycasting80,0,0,1,1,0,1,0,2,38,18,32,25,5.72205e-05,67595,6195000,652,64,245.63,Y
../benchmarks/raycasting81,0,0,1,1,0,1,1,0,36,16,27,18,0.234375,66540,4969082,553,47,297.0,Y
../benchmarks/raycasting82,0,0,1,1,0,1,1,1,35,16,28,21,0.234375,65652,5059962,564,53,298.86,Y
../benchmarks/raycasting83,0,0,1,1,0,1,1,2,37,17,29,27,0.234375,68629,5186914,583,70,287.85,Y
../benchmarks/raycasting84,0,0,1,1,1,0,0,0,36,16,29,17,5.72205e-05,65069,5377548,591,43,266.16,Y
../benchmarks/raycasting85,0,0,1,1,1,0,0,1,36,17,31,20,5.72205e-05,64497,5757068,616,51,224.31,Y
../benchmarks/raycasting86,0,0,1,1,1,0,0,2,38,17,31,27,5.72205e-05,67657,6120404,644,68,235.4,Y
../benchmarks/raycasting87,0,0,1,1,1,0,1,0,35,16,26,19,0.234375,66484,4893306,544,49,250.31,Y
../benchmarks/raycasting88,0,0,1,1,1,0,1,1,35,16,27,22,0.234375,65786,4984698,555,57,243.07,Y
../benchmarks/raycasting89,0,0,1,1,1,0,1,2,37,17,28,29,0.234375,68748,5111650,574,74,260.14,Y
../benchmarks/raycasting90,0,0,1,1,1,1,0,0,36,16,29,16,5.72205e-05,64811,5375948,589,41,248.81,Y
../benchmarks/raycasting91,0,0,1,1,1,1,0,1,36,17,31,18,5.72205e-05,64166,5755468,614,47,253.87,Y
../benchmarks/raycasting92,0,0,1,1,1,1,0,2,38,17,31,25,5.72205e-05,67312,6119992,643,64,245.76,Y
../benchmarks/raycasting93,0,0,1,1,1,1,1,0,35,16,26,18,0.234375,66301,4893306,544,47,297.35,Y
../benchmarks/raycasting94,0,0,1,1,1,1,1,1,35,16,27,21,0.234375,65475,4984698,555,53,278.47,Y
../benchmarks/raycasting95,0,0,1,1,1,1,1,2,37,17,28,27,0.234375,68448,5111650,574,70,274.42,Y
