ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined0,0,0,0,0,0,0,1,0,1,1,1,33,16,28,22,5.72205e-05,71943,3767288,493,56,257.0,Y
../benchmarks/combined1,0,0,0,0,0,0,1,0,2,1,1,45,24,48,40,5.72205e-05,81472,5506306,659,102,275.93,Y
../benchmarks/combined2,0,0,0,0,0,0,1,1,1,1,1,31,15,30,22,0.000228882,61307,3910182,490,56,295.33,Y
../benchmarks/combined3,0,0,0,0,0,0,1,1,2,1,1,42,21,41,44,0.000228882,77196,5051466,591,112,292.14,Y
../benchmarks/combined4,0,0,0,0,0,0,2,0,1,1,1,47,23,40,44,5.72205e-05,99670,5754528,666,112,249.31,Y
../benchmarks/combined5,0,0,0,0,0,0,2,0,2,1,1,70,38,74,80,4.1851e-05,117928,8869936,969,204,259.8,Y
../benchmarks/combined6,0,0,0,0,0,0,2,1,1,1,1,42,20,36,44,0.000228882,80485,5920894,639,112,275.86,Y
../benchmarks/combined7,0,0,0,0,0,0,2,1,2,1,1,57,27,48,88,0.000143618,111534,8045880,828,224,251.38,Y
../benchmarks/combined8,0,0,0,0,0,1,1,0,1,1,1,34,17,33,22,5.52872e-05,65226,4093620,517,56,271.73,Y
../benchmarks/combined9,0,0,0,0,0,1,1,0,1,1,2,34,17,33,22,5.15772e-05,65238,4098813,519,56,281.29,Y
../benchmarks/combined10,0,0,0,0,0,1,1,0,1,2,1,34,17,33,22,5.15772e-05,65325,4098301,519,56,270.92,Y
../benchmarks/combined11,0,0,0,0,0,1,1,0,1,2,2,34,17,33,22,5.15772e-05,65218,4098301,519,56,262.74,Y
../benchmarks/combined12,0,0,0,0,0,1,1,0,2,1,1,44,23,46,40,5.15772e-05,80248,5455697,640,102,269.46,Y
../benchmarks/combined13,0,0,0,0,0,1,1,0,2,1,2,44,23,46,40,5.15772e-05,80088,5455953,641,102,268.38,Y
../benchmarks/combined14,0,0,0,0,0,1,1,0,2,2,1,44,23,46,40,5.15772e-05,80240,5455441,641,102,266.31,Y
../benchmarks/combined15,0,0,0,0,0,1,1,0,2,2,2,44,23,46,40,5.52613e-05,80148,5455441,641,102,278.7,Y
../benchmarks/combined16,0,0,0,0,0,1,1,1,1,1,1,32,15,28,22,0.000220423,62390,4250119,512,56,281.29,Y
../benchmarks/combined17,0,0,0,0,0,1,1,1,1,1,2,33,16,31,22,0.000206309,62201,3979527,495,56,282.96,Y
../benchmarks/combined18,0,0,0,0,0,1,1,1,1,2,1,33,16,30,22,0.000206309,62272,3978375,496,56,282.48,Y
../benchmarks/combined19,0,0,0,0,0,1,1,1,1,2,2,33,16,30,22,0.000206309,62125,3978375,496,56,274.12,Y
../benchmarks/combined20,0,0,0,0,0,1,1,1,2,1,1,44,23,43,44,0.000206309,78898,5165228,602,112,270.92,Y
../benchmarks/combined21,0,0,0,0,0,1,1,1,2,1,2,44,23,43,44,0.000206309,78664,5165484,603,112,267.23,Y
../benchmarks/combined22,0,0,0,0,0,1,1,1,2,2,1,44,23,42,44,0.000206309,78871,5164972,603,112,283.44,Y
../benchmarks/combined23,0,0,0,0,0,1,1,1,2,2,2,44,23,43,44,0.000221045,78708,5164972,603,112,277.93,Y
../benchmarks/combined24,0,0,0,0,0,1,2,0,1,1,1,47,23,47,44,2.36004e-05,84522,6233121,697,112,276.62,Y
../benchmarks/combined25,0,0,0,0,0,1,2,0,1,1,2,47,23,47,44,2.26927e-05,84451,6233121,697,112,276.31,Y
../benchmarks/combined26,0,0,0,0,0,1,2,0,1,2,1,47,23,47,44,2.26927e-05,84660,6236705,699,112,277.31,Y
