ID,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time_fpga,logic,mem,ram,dsp,fmax,ID_int,time_gpu,time_cpu
../../benchmarks_de5_16.1/depth_fusion0,1,0,0,64,0,0,0,1,1,1,1,0,0,27,13,27,14,5.72205E-005,4593.31,55095,3975198,480,37,268.67,0,2725.58,47.0691
../../benchmarks_de5_16.1/depth_fusion1,1,0,0,64,0,0,0,1,1,1,1,0,1,28,13,28,14,5.72205E-005,4096.6,55301,3977726,480,37,273.97,1,2147.31,47.8012
../../benchmarks_de5_16.1/depth_fusion2,1,0,0,64,0,0,0,1,2,1,1,0,0,37,17,37,29,5.72205E-005,4470.08,67645,6087374,631,74,276.47,2,2557.09,46.8454
../../benchmarks_de5_16.1/depth_fusion3,1,0,0,64,0,0,0,1,2,1,1,0,1,38,18,39,29,5.72205E-005,3889.27,68103,6098576,633,74,290.52,3,2104.36,47.6455
../../benchmarks_de5_16.1/depth_fusion4,1,0,0,64,0,0,0,2,1,1,1,0,0,31,14,29,26,5.72205E-005,2206.5,60684,4358871,526,66,286.12,4,2681.39,44.5636
../../benchmarks_de5_16.1/depth_fusion5,1,0,0,64,0,0,0,2,1,1,1,0,1,32,15,31,26,5.72205E-005,1954.08,60697,4231985,507,66,293.08,5,1960.96,43.5653
../../benchmarks_de5_16.1/depth_fusion6,1,0,0,64,0,0,0,2,2,1,1,0,0,45,22,39,52,5.72205E-005,1619.27,92315,6337825,697,132,270.92,6,2599.73,44.7356
../../benchmarks_de5_16.1/depth_fusion7,1,0,0,64,0,0,0,2,2,1,1,0,1,46,22,45,52,5.72205E-005,2009.17,79098,6612825,687,132,299.39,7,2005.1,43.1004
../../benchmarks_de5_16.1/depth_fusion8,1,0,0,64,0,0,1,1,1,1,1,0,0,27,13,23,14,0.000228882,1723.17,58933,3422458,452,37,280.42,8,2741.47,46.8227
../../benchmarks_de5_16.1/depth_fusion9,1,0,0,64,0,0,1,1,1,1,1,0,1,27,13,26,14,0.000228882,3724,53278,3850223,471,37,285.14,9,2212.82,43.1074
../../benchmarks_de5_16.1/depth_fusion10,1,0,0,64,0,0,1,1,2,1,1,0,0,37,18,31,29,0.000228882,1222.83,76094,5055908,569,74,258.13,10,2763.18,47.0306
../../benchmarks_de5_16.1/depth_fusion11,1,0,0,64,0,0,1,1,2,1,1,0,1,35,16,31,29,0.000228882,3920.8,64391,5696398,593,74,271.44,11,2174.08,43.534
../../benchmarks_de5_16.1/depth_fusion12,1,0,0,64,0,0,1,2,1,1,1,0,0,34,17,28,29,0.000228882,1791.78,76348,3908772,549,74,267.3,12,2722.4,46.5274
../../benchmarks_de5_16.1/depth_fusion13,1,0,0,64,0,0,1,2,1,1,1,0,1,31,15,28,29,0.000228882,14.8795,58859,3576721,458,74,201.12,13,2091.24,54.4427
