ID_x,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/depth_fusion0,1,1,0,0,64,0,0,0,1,1,1,1,0,0,1,54,27,56,33,5.72205E-005,999,15671,5940868,599,37,265.11,Y,0,depth_fusion0_timing.csv,505.515191919,0,671.088050505,33.9392121212,0,637.027111111,0,3926.28545455,82.5455454545,3843.64393939,5143.02212121,,0,0.057103
../benchmarks/depth_fusion1,1,1,0,0,64,0,0,0,1,1,1,1,0,1,1,57,29,62,33,4.76837E-005,999,15836,1172558,247,41,133.33,Y,1,depth_fusion1_timing.csv,491.53040404,0,663.771333333,34.5874444444,0,629.063525253,0,3611.64959596,89.4206767677,3522.13212121,4797.59282828,,1,0.056988
../benchmarks/depth_fusion4,1,1,0,0,64,0,0,0,2,1,1,1,0,0,1,67,33,69,59,4.76837E-005,999,20808,1507960,325,74,137.04,Y,4,depth_fusion4_timing.csv,492.313242424,0,676.14140404,33.8793232323,0,642.142212121,0,2059.93646465,83.2838484848,1976.56212121,3259.7120202,,4,0.057115
../benchmarks/depth_fusion5,1,1,0,0,64,0,0,0,2,1,1,1,0,1,1,71,37,76,59,4.14848E-005,999,20650,1380145,307,74,136.78,Y,5,depth_fusion5_timing.csv,500.63930303,0,673.366454545,33.8877373737,0,639.361393939,0,1895.44838384,85.0518282828,1810.30505051,3101.51646465,,5,0.057103
../benchmarks/depth_fusion8,1,1,0,0,64,0,0,1,1,1,1,1,0,0,1,54,28,38,33,0.000190735,999,19965,630512,159,41,125.67,Y,8,depth_fusion8_timing.csv,492.240161616,0,671.689333333,34.0894343434,0,637.482626263,0,1736.22717172,85.0877777778,1651.04858586,2930.87222222,,8,0.056988
../benchmarks/depth_fusion9,1,1,0,0,64,0,0,1,1,1,1,1,0,1,1,52,27,53,33,0.000190735,999,14248,1024493,201,41,133.01,Y,9,depth_fusion9_timing.csv,491.120575758,0,663.430040404,34.5751818182,0,628.734767677,0,3449.3459596,87.5631212121,3361.68727273,4634.19929293,,9,0.056993
../benchmarks/depth_fusion13,1,1,0,0,64,0,0,1,2,1,1,1,0,1,1,68,35,62,66,0.000165838,999,18872,721870,210,82,104.92,Y,13,depth_fusion13_timing.csv,494.154959596,0,668.935949495,34.8080808081,0,634.010727273,0,103.664777778,86.4954141414,17.0892121212,1298.20454545,,13,0.057115
../benchmarks/depth_fusion16,1,1,0,0,64,0,1,0,1,1,1,1,0,0,1,63,34,47,33,4.59867E-005,999,22905,679382,191,41,127.59,Y,16,depth_fusion16_timing.csv,500.357171717,0,669.436777778,34.1355555556,0,635.185272727,0,989.424848485,82.2468787879,907.086707071,2190.67030303,,16,0.056953
../benchmarks/depth_fusion17,1,1,0,0,64,0,1,0,1,1,1,1,0,1,1,59,30,53,33,3.97619E-005,999,15081,628404,188,41,133.08,Y,17,depth_fusion17_timing.csv,492.776363636,0,680.632505051,33.4958080808,0,647.02030303,0,664.908181818,81.9866666667,582.835363636,1869.43434343,,17,0.056953
../benchmarks/depth_fusion18,1,1,0,0,64,0,1,0,1,1,1,2,0,0,1,63,34,50,33,4.28206E-005,999,22996,678446,195,41,128.86,Y,18,depth_fusion18_timing.csv,498.76440404,0,677.659030303,33.9097676768,0,643.632525253,0,979.019656566,85.1196464646,893.808979798,2186.67272727,,18,0.056953
../benchmarks/depth_fusion19,1,1,0,0,64,0,1,0,1,1,1,2,0,1,1,60,30,55,33,3.97619E-005,999,15070,627791,189,41,133.33,Y,19,depth_fusion19_timing.csv,491.162323232,0,666.724333333,34.5683434343,0,632.033414141,0,665.698939394,86.4742121212,579.135151515,1853.75818182,,19,0.057115
../benchmarks/depth_fusion20,1,1,0,0,64,0,1,0,1,1,2,1,0,0,1,64,34,49,33,4.28206E-005,999,23062,678678,194,41,128.71,Y,20,depth_fusion20_timing.csv,492.419777778,0,677.315959596,33.5481717172,0,643.652878788,0,979.473757576,82.1211818182,897.263080808,2180.39606061,,20,0.056953
../benchmarks/depth_fusion21,1,1,0,0,64,0,1,0,1,1,2,1,0,1,1,60,30,54,33,3.65315E-005,999,15214,627892,191,41,136.98,Y,21,depth_fusion21_timing.csv,490.258525253,0,666.637505051,34.7398080808,0,631.779242424,0,653.700070707,88.606030303,565.001929293,1840.8810101,,21,0.056988
../benchmarks/depth_fusion22,1,1,0,0,64,0,1,0,1,1,2,2,0,0,1,63,34,50,33,4.28206E-005,999,22992,677934,195,41,137.19,Y,22,depth_fusion22_timing.csv,498.081646465,0,679.068252525,33.8204848485,0,645.132,0,930.186676768,84.1379393939,845.959636364,2139.28080808,,22,0.057103
../benchmarks/depth_fusion23,1,1,0,0,64,0,1,0,1,1,2,2,0,1,1,60,30,56,33,3.65315E-005,999,15146,627279,192,41,137.09,Y,23,depth_fusion23_timing.csv,494.106828283,0,664.703414141,34.4561515152,0,630.130111111,0,648.486222222,88.5162424242,559.883787879,1838.7020202,,23,0.057103
../benchmarks/depth_fusion25,1,1,0,0,64,0,1,0,1,2,1,1,0,1,1,84,42,76,66,0.000017997,999,23053,971415,303,82,133.01,Y,25,depth_fusion25_timing.csv,493.266414141,0,665.628767677,34.5732323232,0,630.938292929,0,700.667636364,88.243979798,612.337121212,1890.21636364,,25,0.057103
../benchmarks/depth_fusion27,1,1,0,0,64,0,1,0,1,2,1,2,0,1,1,84,42,76,66,1.76698E-005,999,23103,972273,305,82,133.22,Y,27,depth_fusion27_timing.csv,492.94269697,0,681.256828283,33.6125252525,0,647.528565657,0,689.103858586,81.5028080808,607.515606061,1894.4689899,,27,0.056953
../benchmarks/depth_fusion29,1,1,0,0,64,0,1,0,1,2,2,1,0,1,1,84,42,76,66,1.76673E-005,999,23249,974999,305,82,134.72,Y,29,depth_fusion29_timing.csv,496.969606061,0,670.926686869,34.2753838384,0,636.533767677,0,686.25059596,84.3808888889,601.778686869,1884.90444444,,29,0.057103
../benchmarks/depth_fusion31,1,1,0,0,64,0,1,0,1,2,2,2,0,1,1,84,42,76,66,1.73425E-005,999,23280,975985,307,82,129.33,Y,31,depth_fusion31_timing.csv,493.166050505,0,680.579919192,33.6067474747,0,646.856929293,0,702.993868687,81.4877676768,621.416606061,1907.87454545,,31,0.057103
../benchmarks/depth_fusion33,1,1,0,0,64,0,1,0,2,1,1,1,0,1,1,72,36,63,59,3.95758E-005,999,19879,744046,242,74,136.89,Y,33,depth_fusion33_timing.csv,495.134818182,0,675.719010101,33.9149393939,0,641.684969697,0,452.63810101,84.0529393939,368.499080808,1655.58747475,,33,0.057113
../benchmarks/depth_fusion35,1,1,0,0,64,0,1,0,2,1,1,2,0,1,1,72,36,66,59,3.95758E-005,999,19775,744953,243,74,131.26,Y,35,depth_fusion35_timing.csv,490.268606061,0,669.156848485,34.3641212121,0,634.675222222,0,466.697090909,87.3700606061,379.240090909,1656.31555556,,35,0.056988
../benchmarks/depth_fusion37,1,1,0,0,64,0,1,0,2,1,2,1,0,1,1,72,36,64,59,4.26201E-005,999,19856,745054,242,74,137.09,Y,37,depth_fusion37_timing.csv,493.302333333,0,679.959828283,33.5136161616,0,646.329878788,0,447.076373737,81.4586060606,365.535333333,1651.85080808,,37,0.056953
../benchmarks/depth_fusion39,1,1,0,0,64,0,1,0,2,1,2,2,0,1,1,72,36,66,59,4.26201E-005,999,19771,744825,243,74,136.7,Y,39,depth_fusion39_timing.csv,500.674878788,0,667.572121212,34.491010101,0,632.958838384,0,445.220525253,83.3970505051,361.73489899,1645.33070707,,39,0.057004
../benchmarks/depth_fusion48,1,1,0,0,64,0,1,1,1,1,1,1,0,0,1,61,32,50,33,0.000177526,999,20886,924442,198,41,125.96,Y,48,depth_fusion48_timing.csv,492.422262626,0,664.379040404,34.5695757576,0,629.687626263,0,1745.68414141,88.2555454545,1657.33686869,2932.66979798,,48,0.05699
