ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_EstimatedRaycast,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/raycasting18,0,0,0,0,1,1,0,0,71,35,44,37,4.76837E-005,22976,1030604,247,38,123.15,Y,18,raycasting18_timing.csv,504.906979798,0,534.378020202,34.0072020202,0,500.250545455,370.957343435,0,322.017555556,84.7151818182,237.232313131,1392.06363636,,18,0.054979
../benchmarks/raycasting19,0,0,0,0,1,1,0,1,74,36,47,42,4.76837E-005,22066,1099663,259,44,128.81,Y,19,raycasting19_timing.csv,500.091464646,0,406.322717172,34.8694545455,0,371.33120202,242.038,0,318.266909091,82.6998282828,235.492050505,1255.28808081,,19,0.055017
../benchmarks/raycasting20,0,0,0,0,1,1,0,2,79,39,49,57,4.76837E-005,24625,1169003,279,61,131.22,Y,20,raycasting20_timing.csv,496.370686869,0,253.830050505,35.112020202,0,218.601808081,89.308606061,0,323.524333333,86.9266969697,236.525272727,1103.65666667,,20,0.054551
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,70,34,40,42,0.195312,24350,900282,216,41,132.81,Y,21,raycasting21_timing.csv,497.733272727,0,203.642272727,33.8577373737,0,169.66789899,40.37469697,0,318.461777778,81.6120505051,236.783090909,1051.16959596,,21,0.055075
../benchmarks/raycasting22,0,0,0,0,1,1,1,1,72,34,43,47,0.195312,23398,958914,225,47,133.08,Y,22,raycasting22_timing.csv,495.913767677,0,199.180424242,35.0743838384,0,163.989292929,34.696090909,0,323.997878788,87.371010101,236.553323232,1049.02434343,,22,0.05501
../benchmarks/raycasting23,0,0,0,0,1,1,1,2,77,37,47,63,0.195312,25721,1058180,266,64,131.04,Y,23,raycasting23_timing.csv,497.162585859,0,190.838585859,33.6755050505,0,157.046282828,27.753080808,0,317.639979798,80.8762020202,236.694333333,1036.92383838,,23,0.05493
../benchmarks/raycasting27,0,0,0,1,0,0,1,0,80,37,54,44,0.195312,25101,1168591,250,43,129.22,Y,27,raycasting27_timing.csv,495.365959596,0,192.072535354,34.7694444444,0,157.186111111,27.892909091,0,324.414474747,85.5533939394,238.787070707,1041.82909091,,27,0.054946
../benchmarks/raycasting28,0,0,0,1,0,0,1,1,80,38,58,51,0.195312,24325,1226711,259,51,132.57,Y,28,raycasting28_timing.csv,494.201717172,0,190.745787879,34.9523535354,0,155.679,26.38579798,0,324.127878788,87.0522727273,237.002575758,1038.63737374,,28,0.055035
../benchmarks/raycasting29,0,0,0,1,0,0,1,2,85,41,61,66,0.195312,26628,1325977,300,68,131.82,Y,29,raycasting29_timing.csv,494.752151515,0,186.566262626,34.8478888889,0,151.603111111,22.309909091,0,321.565353535,85.7013535354,235.793090909,1032.65464646,,29,0.05493
../benchmarks/raycasting33,0,0,0,1,0,1,1,0,80,37,54,42,0.195312,24932,1168591,250,41,128.5,Y,33,raycasting33_timing.csv,495.688111111,0,192.672020202,34.9314545455,0,157.625181818,28.331979798,0,326.869181818,88.7015454545,238.093333333,1045.59989899,,33,0.054946
../benchmarks/raycasting34,0,0,0,1,0,1,1,1,78,37,57,47,0.195312,23940,1226711,259,47,128.43,Y,34,raycasting34_timing.csv,495.154030303,0,190.931838384,34.9911313131,0,155.825737374,26.532535354,0,323.924616162,86.3716262626,237.479575758,1040.04626263,,34,0.055035
../benchmarks/raycasting35,0,0,0,1,0,1,1,2,83,40,61,63,0.195312,26291,1325977,300,64,129.53,Y,35,raycasting35_timing.csv,496.328444444,0,188.325050505,33.6488282828,0,154.561505051,25.268303031,0,319.344020202,81.9241010101,237.352484848,1035.15828283,,35,0.054955
../benchmarks/raycasting39,0,0,0,1,1,0,1,0,82,38,56,44,0.195312,25238,1208271,255,43,127.01,Y,39,raycasting39_timing.csv,496.236373737,0,190.987424242,34.8928282828,0,155.979636364,26.686434344,0,321.722090909,85.3745151515,236.275111111,1039.49616162,,39,0.055075
../benchmarks/raycasting40,0,0,0,1,1,0,1,1,82,39,60,51,0.195312,24429,1266391,264,51,136.46,Y,40,raycasting40_timing.csv,497.225,0,188.924454545,33.8801212121,0,154.930858586,25.637656566,0,318.466909091,81.8460808081,236.553555556,1035.96666667,,40,0.055035
../benchmarks/raycasting41,0,0,0,1,1,0,1,2,87,41,63,66,0.195312,26741,1365657,305,68,132.88,Y,41,raycasting41_timing.csv,498.283606061,0,183.060919192,33.6334040404,0,149.310070707,20.016868687,0,318.713525253,81.4296161616,237.21459596,1031.21414141,,41,0.054571
../benchmarks/raycasting45,0,0,0,1,1,1,1,0,82,37,56,42,0.195312,24998,1208271,255,41,130.78,Y,45,raycasting45_timing.csv,496.220141414,0,191.594181818,35.0442626263,0,156.433636364,27.140434344,0,322.169242424,84.4143333333,237.681666667,1040.08929293,,45,0.054946
../benchmarks/raycasting46,0,0,0,1,1,1,1,1,80,38,59,47,0.195312,24031,1266391,264,47,132.76,Y,46,raycasting46_timing.csv,496.331191919,0,187.540212121,34.8940909091,0,152.531343434,23.238141414,0,321.773555556,85.5221313131,236.169252525,1035.92646465,,46,0.055035
../benchmarks/raycasting47,0,0,0,1,1,1,1,2,85,40,63,63,0.195312,26289,1365657,305,64,130.82,Y,47,raycasting47_timing.csv,498.042474747,0,183.707636364,33.8134747475,0,149.780373737,20.487171717,0,318.809040404,81.5772525253,237.164515152,1031.73979798,,47,0.054571
../benchmarks/raycasting48,0,0,1,0,0,0,0,0,80,39,54,38,4.76837E-005,24703,1187633,292,40,129.13,Y,48,raycasting48_timing.csv,506.47010101,0,1445.16907071,34.3858181818,0,1410.65856566,1281.36536364,0,321.56420202,84.8956767677,236.596060606,2304.36616162,,48,0.055029
../benchmarks/raycasting49,0,0,1,0,0,0,0,1,79,40,57,46,4.76837E-005,23856,1256099,304,48,124.05,Y,49,raycasting49_timing.csv,497.660676768,0,1265.67313131,35.0860505051,0,1230.46546465,1101.17226263,0,320.150656566,84.0819191919,235.995989899,2113.67191919,,49,0.055048
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,85,42,59,61,4.76837E-005,26473,1325590,322,65,127.35,Y,50,raycasting50_timing.csv,502.163777778,0,455.411929293,34.2884040404,0,421.003555556,291.710353536,0,319.029737374,82.8009393939,236.154969697,1307.46363636,,50,0.054558
../benchmarks/raycasting51,0,0,1,0,0,0,1,0,82,38,49,44,0.195312,26522,1062178,239,43,133.45,Y,51,raycasting51_timing.csv,495.866141414,0,200.24540404,34.9220606061,0,165.208212121,35.915010101,0,322.573181818,84.9224848485,237.576868687,1048.94505051,,51,0.055014
../benchmarks/raycasting52,0,0,1,0,0,0,1,1,82,39,53,51,0.195312,25741,1120298,248,51,134.28,Y,52,raycasting52_timing.csv,497.409979798,0,201.197313131,33.6657373737,0,167.417040404,38.123838384,0,318.311434343,81.3394343434,236.904393939,1047.99535354,,52,0.055041
../benchmarks/raycasting53,0,0,1,0,0,0,1,2,87,42,57,66,0.195312,28039,1219564,289,68,128.69,Y,53,raycasting53_timing.csv,495.836181818,0,186.786333333,34.1403636364,0,152.530212121,23.237010101,0,318.737010101,82.8597878788,235.805525253,1031.91,,53,0.054986
../benchmarks/raycasting54,0,0,1,0,0,1,0,0,80,39,54,37,4.76837E-005,24557,1187633,292,38,125.96,Y,54,raycasting54_timing.csv,497.647949495,0,1448.05758586,34.189030303,0,1413.74569697,1284.45249495,0,319.777050505,83.0139292929,236.692181818,2296.0579798,,54,0.055029
../benchmarks/raycasting55,0,0,1,0,0,1,0,1,79,40,57,42,4.76837E-005,23614,1256180,304,44,126.19,Y,55,raycasting55_timing.csv,496.725121212,0,1203.94754545,35.0618787879,0,1168.76120202,1039.468,0,318.886222222,82.9322626263,235.87769697,2049.3940404,,55,0.055028
../benchmarks/raycasting56,0,0,1,0,0,1,0,2,84,42,59,57,4.76837E-005,26259,1325520,324,61,122.48,Y,56,raycasting56_timing.csv,498.30930303,0,515.449212121,34.8304545455,0,480.50010101,351.20689899,0,320.00969697,83.5035858586,236.432050505,1363.96757576,,56,0.054551
../benchmarks/raycasting57,0,0,1,0,0,1,1,0,81,38,49,42,0.195312,26425,1062178,239,41,130.42,Y,57,raycasting57_timing.csv,497.250171717,0,200.80930303,35.1653434343,0,165.530515152,36.237313132,0,324.521767677,87.4267070707,237.020555556,1052.95636364,,57,0.054583
../benchmarks/raycasting58,0,0,1,0,0,1,1,1,80,38,52,47,0.195312,25275,1120298,248,47,130.02,Y,58,raycasting58_timing.csv,495.266313131,0,200.490434343,35.3182121212,0,165.057626263,35.764424243,0,326.45169697,88.2535353535,238.125111111,1052.23616162,,58,0.054989
