ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/combined78,0,1,0,0,0,0,1,0,1,1,1,76,40,62,48,4.14848E-005,29214,950685,260,58,131.09,Y,78,combined78_timing.csv,466.595393939,0,132.292333333,0,0,132.255939394,0,2484.10787879,85.7683131313,2398.24919192,3113.95313131,,78,0.060695
../benchmarks/combined80,0,1,0,0,0,0,1,1,1,1,1,71,37,73,48,0.000165838,20042,1067912,239,58,136.91,Y,80,combined80_timing.csv,471.954545455,0,131.857111111,0,0,131.823090909,0,2217.03060606,88.9071616162,2128.03363636,2851.66777778,,80,0.06087
../benchmarks/combined86,0,1,0,0,0,1,1,0,1,1,1,82,43,88,48,4.59867E-005,22804,1263547,307,58,132.74,Y,86,combined86_timing.csv,465.731909091,0,130.160888889,0,0,130.125868687,0,2569.21727273,91.9112929293,2477.21656566,3195.88424242,,86,0.060961
../benchmarks/combined87,0,1,0,0,0,1,1,0,1,1,2,82,43,91,48,4.28206E-005,22833,1266906,310,58,135.85,Y,87,combined87_timing.csv,477.822757576,0,132.911585859,0,0,132.875646465,0,2505.45313131,90.2240808081,2415.13767677,3147.50707071,,87,0.060844
../benchmarks/combined88,0,1,0,0,0,1,1,0,1,2,1,82,43,89,48,4.28206E-005,22859,1268227,310,58,135.42,Y,88,combined88_timing.csv,465.304323232,0,131.681555556,0,0,131.648060606,0,2507.68252525,81.5238484848,2426.06979798,3135.77525253,,88,0.060961
../benchmarks/combined89,0,1,0,0,0,1,1,0,1,2,2,82,43,91,48,4.28206E-005,22811,1266394,310,58,128.97,Y,89,combined89_timing.csv,470.576676768,0,132.680686869,0,0,132.647545455,0,2624.22080808,87.0925050505,2537.03858586,3258.46383838,,89,0.060707
../benchmarks/combined94,0,1,0,0,0,1,1,1,1,1,1,70,35,67,48,0.000165838,20926,1394519,285,58,137.02,Y,94,combined94_timing.csv,467.292494949,0,132.937030303,0,0,132.903111111,0,2228.60070707,81.5146262626,2146.99707071,2859.94939394,,94,0.060711
../benchmarks/combined95,0,1,0,0,0,1,1,1,1,1,2,76,40,73,48,0.000147422,20694,1120145,247,58,136.98,Y,95,combined95_timing.csv,465.839282828,0,132.774868687,0,0,132.736909091,0,2239.61,97.2334040404,2142.28545455,2869.08676768,,95,0.060869
../benchmarks/combined96,0,1,0,0,0,1,1,1,1,2,1,76,40,72,48,0.000147422,20863,1121560,246,58,133.12,Y,96,combined96_timing.csv,469.644,0,131.851818182,0,0,131.817020202,0,2288.07717172,83.1046666667,2204.8830303,2920.74626263,,96,0.060593
../benchmarks/combined97,0,1,0,0,0,1,1,1,1,2,2,76,40,73,48,0.000132687,20762,1119813,247,58,127.86,Y,97,combined97_timing.csv,467.271727273,0,131.929141414,0,0,131.894969697,0,2367.57979798,81.3375959596,2286.15464646,2997.90252525,,97,0.060712
../benchmarks/combined119,0,1,0,0,0,2,1,0,1,1,2,83,43,99,48,0.000044364,23085,1496477,344,58,129.9,Y,119,combined119_timing.csv,465.973111111,0,131.704757576,0,0,131.667656566,0,2618.35757576,93.4495757576,2524.81949495,3246.61040404,,119,0.060664
../benchmarks/combined120,0,1,0,0,0,2,1,0,1,2,1,84,44,98,48,4.14064E-005,23153,1498246,340,58,132.97,Y,120,combined120_timing.csv,473.83179798,0,132.165030303,0,0,132.129808081,0,2561.7920202,91.9184444444,2469.78545455,3198.65393939,,120,0.060707
../benchmarks/combined121,0,1,0,0,0,2,1,0,1,2,2,83,44,99,48,4.13902E-005,23056,1494109,343,58,136.68,Y,121,combined121_timing.csv,466.426060606,0,131.576252525,0,0,131.542777778,0,2480.0840404,81.5873333333,2398.40929293,3109.29939394,,121,0.060695
../benchmarks/combined126,0,1,0,0,0,2,1,1,1,1,1,71,36,75,48,0.000165838,21083,1613155,313,58,136.59,Y,126,combined126_timing.csv,468.124747475,0,130.794626263,0,0,130.757969697,0,2253.63010101,99.538979798,2153.99959596,2883.74646465,,126,0.060712
../benchmarks/combined127,0,1,0,0,0,2,1,1,1,1,2,70,35,68,48,0.000147422,20756,1342237,275,58,119.41,Y,127,combined127_timing.csv,466.705686869,0,131.479939394,0,0,131.444232323,0,2540.07424242,94.4577777778,2445.52616162,3169.36030303,,127,0.060712
../benchmarks/combined128,0,1,0,0,0,2,1,1,1,2,1,71,36,67,48,0.000147422,21152,1345412,277,58,131.16,Y,128,combined128_timing.csv,466.72540404,0,129.487616162,0,0,129.450818182,0,2337.61606061,98.6004040404,2238.92525253,2965.1110101,,128,0.060782
../benchmarks/combined129,0,1,0,0,0,2,1,1,1,2,2,70,35,68,48,0.000132687,21035,1341233,279,58,137.28,Y,129,combined129_timing.csv,477.975424242,0,132.276757576,0,0,132.242191919,0,2227.06373737,92.7957474747,2134.17929293,2868.41161616,,129,0.060712
../benchmarks/combined150,0,1,0,0,1,0,1,0,1,1,1,70,34,62,48,0.0908673,18920,994749,223,58,137.13,Y,150,combined150_timing.csv,462.812363636,0,133.001030303,0,0,132.967323232,0,156.745676768,81.842969697,74.8251111111,783.642626263,,150,0.062541
../benchmarks/combined152,0,1,0,0,1,1,1,0,1,1,1,72,35,67,48,0.0908673,19265,1041435,236,58,132.55,Y,152,combined152_timing.csv,463.068747475,0,133.051949495,0,0,133.017737374,0,157.051606061,82.0281313131,74.9445555556,784.474343434,,152,0.063358
../benchmarks/combined154,0,1,0,0,1,2,1,0,1,1,1,72,35,67,48,0.0908673,19265,1041435,236,58,132.55,Y,154,combined154_timing.csv,463.797121212,0,133.753333333,0,0,133.717424242,0,170.393121212,93.7823535354,76.5314545455,797.918282828,,154,0.062578
