ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12
../benchmarks/combined74,0,0,0,0,1,1,1,0,1,1,1,73,36,66,50,0.0908673,19721,1042989,238,60,137.04,Y,74,combined74_timing.csv,285.212303797,0,96.4773164557,0,0,96.4433544304,0,146.322392405,69.4605443038,76.7819240506,550.134810127,
../benchmarks/combined76,0,0,0,0,1,2,1,0,1,1,1,73,36,66,50,0.0908673,19713,1042989,238,60,136.74,Y,76,combined76_timing.csv,281.270481013,0,96.8426582278,0,0,96.8098860759,0,140.946607595,65.3251265823,75.5451772152,541.978987342,
../benchmarks/combined78,0,1,0,0,0,0,1,0,1,1,1,76,40,62,48,4.14848E-005,29247,950685,260,58,122.57,Y,78,combined78_timing.csv,292.051797468,0,96.365164557,0,0,96.3298734177,0,7133.90291139,65.2202531646,7068.59037975,7545.08443038,
../benchmarks/combined80,0,1,0,0,0,0,1,1,1,1,1,71,37,73,48,0.000165838,20049,1067912,239,58,133.31,Y,80,combined80_timing.csv,288.842417722,0,94.5343164557,0,0,94.5000126582,0,6067.13481013,67.7674683544,5999.27531646,6472.47721519,
../benchmarks/combined86,0,1,0,0,0,1,1,0,1,1,1,82,43,88,48,4.59867E-005,22816,1263547,307,58,140.03,Y,86,combined86_timing.csv,286.009379747,0,94.6283544304,0,0,94.5937341772,0,6549.06341772,67.7529620253,6481.22050633,6951.3556962,
../benchmarks/combined87,0,1,0,0,0,1,1,0,1,1,2,82,43,91,48,4.28206E-005,22816,1266906,310,58,132.62,Y,87,combined87_timing.csv,290.842455696,0,95.8503797468,0,0,95.8148860759,0,6890.19607595,66.7577341772,6823.34873418,7299.32797468,
../benchmarks/combined88,0,1,0,0,0,1,1,0,1,2,1,82,43,89,48,4.28206E-005,22895,1268227,310,58,133.28,Y,88,combined88_timing.csv,290.661341772,0,95.8219240506,0,0,95.7869493671,0,6883.3121519,65.9324936709,6817.28721519,7292.51594937,
../benchmarks/combined89,0,1,0,0,0,1,1,0,1,2,2,82,43,91,48,4.28206E-005,22775,1266394,310,58,126.13,Y,89,combined89_timing.csv,288.145797468,0,94.9215063291,0,0,94.8869367089,0,7222.11987342,67.5288101266,7154.49974684,7627.04898734,
../benchmarks/combined94,0,1,0,0,0,1,1,1,1,1,1,70,35,67,48,0.000165838,20940,1394519,285,58,139.6,Y,94,combined94_timing.csv,287.019303797,0,94.7106329114,0,0,94.6764936709,0,5868.70620253,69.0094810127,5799.60746835,6272.48620253,
../benchmarks/combined95,0,1,0,0,0,1,1,1,1,1,2,76,40,73,48,0.000147422,20703,1120145,247,58,133.44,Y,95,combined95_timing.csv,302.406303797,0,95.1767341772,0,0,95.1423924051,0,6491.02101266,68.2358607595,6422.69316456,6911.16151899,
../benchmarks/combined96,0,1,0,0,0,1,1,1,1,2,1,76,40,72,48,0.000147422,20849,1121560,246,58,134.66,Y,96,combined96_timing.csv,289.304075949,0,95.467835443,0,0,95.4324303797,0,6403.4056962,68.3130506329,6335.00063291,6810.82303797,
../benchmarks/combined97,0,1,0,0,0,1,1,1,1,2,2,76,40,73,48,0.000132687,20777,1119813,247,58,130.54,Y,97,combined97_timing.csv,290.702303797,0,97.1350886076,0,0,97.1001012658,0,6238.51683544,67.2341898734,6171.19139241,6649.02506329,
../benchmarks/combined119,0,1,0,0,0,2,1,0,1,1,2,83,43,99,48,0.000044364,23067,1496477,344,58,132.83,Y,119,combined119_timing.csv,286.986240506,0,94.6417974684,0,0,94.6068227848,0,6872.62797468,67.0118860759,6805.52493671,7275.86518987,
../benchmarks/combined120,0,1,0,0,0,2,1,0,1,2,1,84,44,98,48,4.14064E-005,23154,1498246,340,58,136.03,Y,120,combined120_timing.csv,289.493759494,0,95.1046962025,0,0,95.0689873418,0,6747.55974684,66.7265063291,6680.74164557,7154.66329114,
../benchmarks/combined121,0,1,0,0,0,2,1,0,1,2,2,83,44,99,48,4.13902E-005,23050,1494109,343,58,130.29,Y,121,combined121_timing.csv,290.382708861,0,95.5781265823,0,0,95.5429493671,0,6999.61481013,66.2242278481,6933.29898734,7408.02316456,
../benchmarks/combined126,0,1,0,0,0,2,1,1,1,1,1,71,36,75,48,0.000165838,21111,1613155,313,58,135.53,Y,126,combined126_timing.csv,290.686329114,0,94.6051139241,0,0,94.5701392405,0,6082.16683544,68.2258101266,6013.85088608,6489.01962025,
../benchmarks/combined127,0,1,0,0,0,2,1,1,1,1,2,70,35,68,48,0.000147422,20797,1342237,275,58,135.99,Y,127,combined127_timing.csv,289.579151899,0,94.7250506329,0,0,94.6889240506,0,6047.93278481,69.4725063291,5978.36886076,6454.59379747,
../benchmarks/combined128,0,1,0,0,0,2,1,1,1,2,1,71,36,67,48,0.000147422,21137,1345412,277,58,132.99,Y,128,combined128_timing.csv,291.654481013,0,95.1164177215,0,0,95.081278481,0,6144.51924051,66.3860886076,6078.04050633,6554.04037975,
../benchmarks/combined129,0,1,0,0,0,2,1,1,1,2,2,70,35,68,48,0.000132687,21026,1341233,279,58,134.71,Y,129,combined129_timing.csv,286.382873418,0,96.0013417722,0,0,95.9644556962,0,6054.39708861,71.3021265823,5982.99848101,6458.80025316,
../benchmarks/combined150,0,1,0,0,1,0,1,0,1,1,1,70,34,62,48,0.0908673,18901,994749,223,58,132.9,Y,150,combined150_timing.csv,285.204101266,0,95.5107468354,0,0,95.4766202532,0,145.182936709,68.0583924051,77.0456329114,548.142278481,
../benchmarks/combined152,0,1,0,0,1,1,1,0,1,1,1,72,35,67,48,0.0908673,19264,1041435,236,58,136.94,Y,152,combined152_timing.csv,280.142202532,0,96.7918987342,0,0,96.7580379747,0,149.048544304,71.9659493671,77.0048734177,547.819113924,
../benchmarks/combined154,0,1,0,0,1,2,1,0,1,1,1,72,35,67,48,0.0908673,19264,1041435,236,58,136.94,Y,154,combined154_timing.csv,275.54135443,0,96.2800632911,0,0,96.245278481,0,147.183417722,70.0705949367,77.0333417722,540.755063291,
../benchmarks/combined234,1,1,0,0,0,0,1,0,1,1,1,71,37,81,48,3.22184E-005,28018,1879261,368,58,124.71,Y,234,combined234_timing.csv,290.699632911,0,94.7264303797,0,0,94.6914050633,0,7070.45987342,67.3718607595,7002.99582278,7477.70291139,
../benchmarks/combined236,1,1,0,0,0,0,1,1,1,1,1,65,34,84,48,0.000128779,17895,1729325,309,58,99.74,Y,236,combined236_timing.csv,285.422329114,0,95.5258481013,0,0,95.4905822785,0,190.857126582,68.1092278481,122.668227848,593.566455696,
../benchmarks/combined242,1,1,0,0,0,1,1,0,1,1,1,75,39,94,48,3.25822E-005,21036,1793741,361,58,124.78,Y,242,combined242_timing.csv,288.092278481,0,94.6714303797,0,0,94.6369493671,0,1775.84620253,68.3864936709,1707.37227848,2180.47341772,
../benchmarks/combined243,1,1,0,0,0,1,1,0,1,1,2,75,39,96,48,3.03979E-005,21097,1794986,365,58,132.87,Y,243,combined243_timing.csv,285.995329114,0,94.6523670886,0,0,94.6180886076,0,1663.08481013,67.3896962025,1595.60898734,2065.76113924,
../benchmarks/combined244,1,1,0,0,0,1,1,0,1,2,1,75,39,95,48,3.03979E-005,21150,1794700,364,58,129.03,Y,244,combined244_timing.csv,288.556240506,0,94.7622911392,0,0,94.7281772152,0,1711.94063291,67.7396708861,1644.11405063,2117.17316456,
../benchmarks/combined245,1,1,0,0,0,1,1,0,1,2,2,75,39,96,48,3.03979E-005,21088,1794474,365,58,133.26,Y,245,combined245_timing.csv,292.413772152,0,96.4800379747,0,0,96.4459367089,0,1645.14506329,66.6565189873,1578.402,2056.57367089,
../benchmarks/combined250,1,1,0,0,0,1,1,1,1,1,1,64,33,76,48,0.000129454,18637,1806231,326,58,101.91,Y,250,combined250_timing.csv,293.80378481,0,96.4009240506,0,0,96.3659367089,0,255.410177215,69.1716455696,186.158582278,667.55835443,
../benchmarks/combined251,1,1,0,0,0,1,1,1,1,1,2,68,36,82,48,0.000121503,18647,1739601,312,58,100.32,Y,251,combined251_timing.csv,294.361949367,0,96.4446455696,0,0,96.4100886076,0,238.458531646,69.6878101266,168.69043038,651.146075949,
../benchmarks/combined252,1,1,0,0,0,1,1,1,1,2,1,69,36,81,48,0.000121503,18768,1739167,311,58,99.22,Y,252,combined252_timing.csv,285.388316456,0,95.5555063291,0,0,95.5201518987,0,236.615886076,67.4152405063,169.119468354,639.638987342,
../benchmarks/combined253,1,1,0,0,0,1,1,1,1,2,2,69,36,83,48,0.000121503,18691,1739089,312,58,98.77,Y,253,combined253_timing.csv,286.247291139,0,95.7353924051,0,0,95.7011012658,0,218.850987342,68.3566582278,150.415075949,622.617974684,
../benchmarks/combined275,1,1,0,0,0,2,1,0,1,1,2,76,40,97,48,3.24209E-005,21330,1866831,373,58,102.18,Y,275,combined275_timing.csv,288.835405063,0,94.5069620253,0,0,94.4727468354,0,894.101810127,67.9699620253,826.048341772,1299.11708861,
../benchmarks/combined276,1,1,0,0,0,2,1,0,1,2,1,77,41,96,48,3.02595E-005,21414,1866961,368,58,100.07,Y,276,combined276_timing.csv,294.566291139,0,94.9381898734,0,0,94.9031265823,0,913.432240506,65.6461139241,847.70021519,1325.75810127,
../benchmarks/combined277,1,1,0,0,0,2,1,0,1,2,2,77,40,97,48,3.02286E-005,21322,1864495,370,58,99.37,Y,277,combined277_timing.csv,291.80478481,0,95.1122911392,0,0,95.0769367089,0,901.378962025,66.4679113924,834.823886076,1310.76443038,
../benchmarks/combined282,1,1,0,0,0,2,1,1,1,1,1,65,33,80,48,0.000128728,18758,1871511,338,58,101.3,Y,282,combined282_timing.csv,289.929759494,0,95.2111139241,0,0,95.1762278481,0,253.162278481,68.4483164557,184.633126582,660.697721519,
../benchmarks/combined283,1,1,0,0,0,2,1,1,1,1,2,64,33,78,48,0.000129589,18663,1802124,327,58,99.66,Y,283,combined283_timing.csv,286.111139241,0,95.3485063291,0,0,95.3132531646,0,229.908987342,67.7016835443,162.127810127,632.992658228,
../benchmarks/combined284,1,1,0,0,0,2,1,1,1,2,1,65,33,76,48,0.000120949,18819,1801431,321,58,100.87,Y,284,combined284_timing.csv,288.175734177,0,96.3308987342,0,0,96.2965189873,0,245.641101266,69.4257341772,176.135227848,652.077594937,
../benchmarks/combined285,1,1,0,0,0,2,1,1,1,2,2,65,33,77,48,0.000120826,18703,1799177,324,58,96.92,Y,285,combined285_timing.csv,297.494531646,0,95.7976582278,0,0,95.761721519,0,229.505531646,69.9106455696,159.514265823,644.508607595,
