ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/combined72,0,0,0,0,1,0,1,0,1,1,1,71,35,62,50,0.0908673,19423,996475,226,60,136.7,Y,72,combined72_timing.csv,497.567373737,0,128.812484848,0,0,128.776909091,0,168.246606061,85.6964949495,82.4707474747,824.81959596,,72,0.034508
../benchmarks/combined74,0,0,0,0,1,1,1,0,1,1,1,73,36,66,50,0.0908673,19721,1042989,238,60,137.04,Y,74,combined74_timing.csv,498.083242424,0,128.291525253,0,0,128.255959596,0,168.532242424,85.7475050505,82.7073333333,824.667272727,,74,0.034555
../benchmarks/combined76,0,0,0,0,1,2,1,0,1,1,1,73,36,66,50,0.0908673,19713,1042989,238,60,136.74,Y,76,combined76_timing.csv,500.439686869,0,130.853808081,0,0,130.820707071,0,163.050414141,82.0181717172,80.9548888889,825.43,,76,0.034731
../benchmarks/combined78,0,1,0,0,0,0,1,0,1,1,1,76,40,62,48,4.14848E-005,29214,950685,260,58,131.09,Y,78,combined78_timing.csv,500.794707071,0,129.646686869,0,0,129.614545455,0,3360.56868687,81.3197272727,3279.16767677,4022.53454545,,78,0.032401
../benchmarks/combined80,0,1,0,0,0,0,1,1,1,1,1,71,37,73,48,0.000165838,20042,1067912,239,58,136.91,Y,80,combined80_timing.csv,498.485343434,0,126.324666667,0,0,126.290858586,0,2993.98777778,83.5457070707,2910.35747475,3648.90818182,,80,0.032242
../benchmarks/combined86,0,1,0,0,0,1,1,0,1,1,1,82,43,88,48,4.59867E-005,22804,1263547,307,58,132.74,Y,86,combined86_timing.csv,498.076262626,0,126.232424242,0,0,126.198606061,0,3471.96323232,84.1419494949,3387.73717172,4126.28383838,,86,0.032316
../benchmarks/combined87,0,1,0,0,0,1,1,0,1,1,2,82,43,91,48,4.28206E-005,22833,1266906,310,58,135.85,Y,87,combined87_timing.csv,499.888808081,0,130.481838384,0,0,130.449424242,0,3384.15535354,81.4151010101,3302.6559596,4045.79737374,,87,0.032235
../benchmarks/combined88,0,1,0,0,0,1,1,0,1,2,1,82,43,89,48,4.28206E-005,22859,1268227,310,58,135.42,Y,88,combined88_timing.csv,501.932545455,0,129.689,0,0,129.656424242,0,3397.67565657,81.3580707071,3316.23383838,4060.73010101,,88,0.032349
../benchmarks/combined89,0,1,0,0,0,1,1,0,1,2,2,82,43,91,48,4.28206E-005,22811,1266394,310,58,128.97,Y,89,combined89_timing.csv,499.808909091,0,129.71489899,0,0,129.682242424,0,3554.24080808,81.7981111111,3472.35757576,4214.92313131,,89,0.032375
../benchmarks/combined94,0,1,0,0,0,1,1,1,1,1,1,70,35,67,48,0.000165838,20926,1394519,285,58,137.02,Y,94,combined94_timing.csv,498.442090909,0,126.264252525,0,0,126.230090909,0,3018.07111111,84.1030606061,2933.8840404,3672.79383838,,94,0.032242
../benchmarks/combined95,0,1,0,0,0,1,1,1,1,1,2,76,40,73,48,0.000147422,20694,1120145,247,58,136.98,Y,95,combined95_timing.csv,498.544626263,0,126.268878788,0,0,126.234626263,0,3013.79535354,84.3270909091,2929.38222222,3668.86949495,,95,0.032238
../benchmarks/combined96,0,1,0,0,0,1,1,1,1,2,1,76,40,72,48,0.000147422,20863,1121560,246,58,133.12,Y,96,combined96_timing.csv,507.184020202,0,130.00269697,0,0,129.97040404,0,3097.40858586,82.5836868687,3014.74090909,3765.46565657,,96,0.032242
../benchmarks/combined97,0,1,0,0,0,1,1,1,1,2,2,76,40,73,48,0.000132687,20762,1119813,247,58,127.86,Y,97,combined97_timing.csv,499.577656566,0,129.700191919,0,0,129.664525253,0,3205.55545455,81.2733535354,3124.19090909,3865.71272727,,97,0.032277
../benchmarks/combined119,0,1,0,0,0,2,1,0,1,1,2,83,43,99,48,0.000044364,23085,1496477,344,58,129.9,Y,119,combined119_timing.csv,501.045818182,0,128.404606061,0,0,128.368707071,0,3529.79626263,81.5547070707,3448.14939394,4190.49111111,,119,0.032256
../benchmarks/combined120,0,1,0,0,0,2,1,0,1,2,1,84,44,98,48,4.14064E-005,23153,1498246,340,58,132.97,Y,120,combined120_timing.csv,499.177060606,0,126.292989899,0,0,126.257292929,0,3464.77727273,85.8593434343,3378.82474747,4120.53989899,,120,0.032316
../benchmarks/combined121,0,1,0,0,0,2,1,0,1,2,2,83,44,99,48,4.13902E-005,23056,1494109,343,58,136.68,Y,121,combined121_timing.csv,501.860585859,0,129.866747475,0,0,129.832212121,0,3357.25353535,81.6096363636,3275.55343434,4020.08858586,,121,0.032256
../benchmarks/combined126,0,1,0,0,0,2,1,1,1,1,1,71,36,75,48,0.000165838,21083,1613155,313,58,136.59,Y,126,combined126_timing.csv,508.181010101,0,131.998242424,0,0,131.964353535,0,3029.52151515,82.8157272727,2946.61373737,3701.17878788,,126,0.032332
../benchmarks/combined127,0,1,0,0,0,2,1,1,1,1,2,70,35,68,48,0.000147422,20756,1342237,275,58,119.41,Y,127,combined127_timing.csv,504.127848485,0,126.358191919,0,0,126.321464646,0,3428.53494949,82.8242121212,3345.61494949,4089.6220202,,127,0.032275
../benchmarks/combined128,0,1,0,0,0,2,1,1,1,2,1,71,36,67,48,0.000147422,21152,1345412,277,58,131.16,Y,128,combined128_timing.csv,507.829646465,0,127.904606061,0,0,127.870040404,0,3143.99141414,82.818030303,3061.08484848,3810.70747475,,128,0.032238
../benchmarks/combined129,0,1,0,0,0,2,1,1,1,2,2,70,35,68,48,0.000132687,21035,1341233,279,58,137.28,Y,129,combined129_timing.csv,498.479292929,0,126.274606061,0,0,126.240313131,0,3002.53424242,83.9981414141,2918.45070707,3657.34707071,,129,0.032238
../benchmarks/combined150,0,1,0,0,1,0,1,0,1,1,1,70,34,62,48,0.0908673,18920,994749,223,58,137.13,Y,150,combined150_timing.csv,496.726050505,0,129.41630303,0,0,129.381494949,0,169.170484848,86.882979798,82.2092323232,825.155151515,,150,0.034555
../benchmarks/combined152,0,1,0,0,1,1,1,0,1,1,1,72,35,67,48,0.0908673,19265,1041435,236,58,132.55,Y,152,combined152_timing.csv,498.005969697,0,128.513242424,0,0,128.478747475,0,167.680626263,84.7728383838,82.8288181818,823.925454545,,152,0.034729
../benchmarks/combined154,0,1,0,0,1,2,1,0,1,1,1,72,35,67,48,0.0908673,19265,1041435,236,58,132.55,Y,154,combined154_timing.csv,498.398979798,0,129.624818182,0,0,129.590383838,0,169.143919192,87.2681515152,81.798040404,827.614040404,,154,0.034828
