ID_x,knob_point_interpolation,knob_normal_interpolation,knob_nabla_unroll,knob_hessian_unroll,knob_branch,knob_nabla_sumtype,knob_hessian_sumtype,knob_shift_register,knob_flatten_loop,knob_use_wi,knob_pipe_depth,knob_compute_units,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/icp97,0,0,0,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y,97,icp97_timing.csv,402.718757576,0.0,767.375787879,38.1057755102,0.0,729.253545455,0.0,389.864626263,87.025969697,302.765747475,1590.71888889,,97,0.0317
../benchmarks/icp108,0,0,0,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y,108,icp108_timing.csv,405.626121212,0.0,759.109878788,37.4825050505,0.0,721.513464646,0.0,390.155353535,86.4730505051,303.611505051,1585.40262626,,108,0.031752
../benchmarks/icp109,0,0,0,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y,109,icp109_timing.csv,415.355818182,0.0,760.264545455,37.4503737374,0.0,722.70179798,0.0,388.337272727,86.5632323232,301.703888889,1594.7110101,,109,0.031734
../benchmarks/icp120,0,0,0,1,0,2,0,2,0,0,2,1,73,37,56,70,2.40687e-05,26438,597592,259,80,136.25,Y,120,icp120_timing.csv,402.978414141,0.0,771.712909091,38.3817373737,0.0,733.216121212,0.0,391.797616162,89.1149494949,302.609212121,1596.97141414,,120,0.031955
../benchmarks/icp121,0,0,0,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25963,620484,263,80,142.65,Y,121,icp121_timing.csv,388.058707071,0.0,758.657121212,37.5846868687,0.0,720.957585859,0.0,393.729141414,91.045040404,302.610474747,1570.98393939,,121,0.031734
../benchmarks/icp122,0,0,0,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30258,605532,259,80,128.18,Y,122,icp122_timing.csv,424.529020202,0.0,761.10259596,37.4031010101,0.0,723.585323232,0.0,387.141040404,85.6776262626,301.392909091,1603.53212121,,122,0.031674
../benchmarks/icp123,0,0,0,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29240,628424,263,80,134.58,Y,123,icp123_timing.csv,405.418474747,0.0,762.050131313,37.8179494949,0.0,724.117585859,0.0,391.72669697,88.2732828283,303.38259596,1589.39272727,,123,0.03164
../benchmarks/icp144,0,0,0,1,1,0,0,2,0,0,2,1,75,39,56,65,2.88825e-05,24758,586958,248,75,132.89,Y,144,icp144_timing.csv,474.88879798,0.0,758.903252525,37.5187777778,0.0,721.269838384,0.0,385.724555556,83.6627878788,301.994525253,1650.18969697,,144,0.031715
../benchmarks/icp145,0,0,0,1,1,0,0,2,1,0,2,1,75,39,55,65,9.61809e-05,24820,612193,255,75,135.06,Y,145,icp145_timing.csv,468.695535354,0.0,760.627131313,37.4410606061,0.0,723.07069697,0.0,383.674959596,82.0262424242,301.580505051,1643.83757576,,145,0.031759
../benchmarks/icp156,0,0,0,1,1,1,0,2,0,0,2,1,72,37,55,65,2.88825e-05,25446,586492,247,75,133.01,Y,156,icp156_timing.csv,433.215070707,0.0,758.901575758,37.6437777778,0.0,721.141959596,0.0,385.88159596,83.8879494949,301.921282828,1609.28868687,,156,0.031987
