ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,85,42,59,61,4.76837e-05,26473,1325590,322,65,127.35,Y
../benchmarks/raycasting51,0,0,1,0,0,0,1,0,82,38,49,44,0.195312,26522,1062178,239,43,133.45,Y
../benchmarks/raycasting52,0,0,1,0,0,0,1,1,82,39,53,51,0.195312,25741,1120298,248,51,134.28,Y
../benchmarks/raycasting53,0,0,1,0,0,0,1,2,87,42,57,66,0.195312,28039,1219564,289,68,128.69,Y
../benchmarks/raycasting54,0,0,1,0,0,1,0,0,80,39,54,37,4.76837e-05,24557,1187633,292,38,125.96,Y
../benchmarks/raycasting55,0,0,1,0,0,1,0,1,79,40,57,42,4.76837e-05,23614,1256180,304,44,126.19,Y
../benchmarks/raycasting56,0,0,1,0,0,1,0,2,84,42,59,57,4.76837e-05,26259,1325520,324,61,122.48,Y
../benchmarks/raycasting57,0,0,1,0,0,1,1,0,81,38,49,42,0.195312,26425,1062178,239,41,130.42,Y
../benchmarks/raycasting58,0,0,1,0,0,1,1,1,80,38,52,47,0.195312,25275,1120298,248,47,130.02,Y
../benchmarks/raycasting59,0,0,1,0,0,1,1,2,85,41,56,63,0.195312,27648,1219564,289,64,132.25,Y
../benchmarks/raycasting60,0,0,1,0,1,0,0,0,76,38,52,38,4.76837e-05,24427,1146513,290,40,122.88,Y
../benchmarks/raycasting61,0,0,1,0,1,0,0,1,78,39,55,46,4.76837e-05,23571,1215491,302,48,133.03,Y
../benchmarks/raycasting62,0,0,1,0,1,0,0,2,83,41,57,61,4.76837e-05,26219,1284982,320,65,128.79,Y
../benchmarks/raycasting63,0,0,1,0,1,0,1,0,76,36,43,44,0.195312,26346,1019959,233,43,131.47,Y
../benchmarks/raycasting64,0,0,1,0,1,0,1,1,79,38,47,51,0.195312,25466,1078591,242,51,137.76,Y
../benchmarks/raycasting65,0,0,1,0,1,0,1,2,84,41,50,66,0.195312,27765,1177857,283,68,134.38,Y
../benchmarks/raycasting66,0,0,1,0,1,1,0,0,75,37,51,37,4.76837e-05,24324,1145713,288,38,132.27,Y
../benchmarks/raycasting67,0,0,1,0,1,1,0,1,77,38,54,42,4.76837e-05,23372,1214772,300,44,133.08,Y
../benchmarks/raycasting68,0,0,1,0,1,1,0,2,83,41,55,57,4.76837e-05,25962,1284112,320,61,123.83,Y
../benchmarks/raycasting69,0,0,1,0,1,1,1,0,76,36,43,42,0.195312,26107,1019959,233,41,124.95,Y
../benchmarks/raycasting70,0,0,1,0,1,1,1,1,78,37,46,47,0.195312,25138,1078591,242,47,131.71,Y
../benchmarks/raycasting71,0,0,1,0,1,1,1,2,83,40,50,63,0.195312,27416,1177857,283,64,132.76,Y
