ID_x,knob_sdf_local,knob_hardcode_size,knob_depth_local,knob_entryid_loop,knob_xyz_loop,knob_voxel_cache,knob_entryid_unroll,knob_xyz_flat,knob_xyz_unroll,knob_voxel_unroll,knob_voxel_out_unroll,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Tracking1_Kernel,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Raycast_CreateICPMaps_Kernel,Fusion,Fusion_allocate,Fusion_integrate,Fusion_integrate_Kernel,Total_time,Unnamed: 15,ID,ate
../benchmarks/combined14,0,0,0,0,0,1,1,0,2,2,1,44,23,46,40,5.15772e-05,80240,5455441,641,102,266.31,Y,14,combined14_timing.csv,12.8504924623,0.0,0.0,2.12988442211,0.0,0.0,2.12412562814,0.0,0.0,1933.32049749,3.27147738693,1930.0340201,1925.65245226,1948.51462312,,14,0.032481
../benchmarks/combined15,0,0,0,0,0,1,1,0,2,2,2,44,23,46,40,5.52613e-05,80148,5455441,641,102,278.7,Y,15,combined15_timing.csv,13.2071306533,0.0,0.0,1.95644723618,0.0,0.0,1.95062311558,0.0,0.0,1829.59200503,3.33035175879,1826.25268342,1821.8780804,1844.97603015,,15,0.032401
../benchmarks/combined16,0,0,0,0,0,1,1,1,1,1,1,32,15,28,22,0.000220423,62390,4250119,512,56,281.29,Y,16,combined16_timing.csv,10.5164924623,0.0,0.0,1.8287638191,0.0,0.0,1.82366834171,0.0,0.0,1472.42815578,2.92479899497,1469.49521608,1465.33530653,1484.95899497,,16,0.032455
../benchmarks/combined17,0,0,0,0,0,1,1,1,1,1,2,33,16,31,22,0.000206309,62201,3979527,495,56,282.96,Y,17,combined17_timing.csv,12.059774359,0.0,0.0,1.62788944724,0.0,0.0,1.62252763819,0.0,0.0,1463.83126633,3.06100502513,1460.76193467,1456.42755276,1477.68567839,,17,0.032397
../benchmarks/combined18,0,0,0,0,0,1,1,1,1,2,1,33,16,30,22,0.000206309,62272,3978375,496,56,282.48,Y,18,combined18_timing.csv,11.7909547739,0.0,0.0,1.95128643216,0.0,0.0,1.94608040201,0.0,0.0,1469.37666332,3.20850251256,1466.15975879,1461.86169849,1483.32547739,,18,0.03246
../benchmarks/combined19,0,0,0,0,0,1,1,1,1,2,2,33,16,30,22,0.000206309,62125,3978375,496,56,274.12,Y,19,combined19_timing.csv,12.9101717172,0.0,0.0,2.06627135678,0.0,0.0,2.06079899497,0.0,0.0,1505.84219598,3.44449748744,1502.3840201,1497.98896482,1521.01110553,,19,0.032424
../benchmarks/combined20,0,0,0,0,0,1,1,1,2,1,1,44,23,43,44,0.000206309,78898,5165228,602,112,270.92,Y,20,combined20_timing.csv,11.176494898,0.0,0.0,1.74,0.0,0.0,1.73493969849,0.0,0.0,1520.83791457,3.0983919598,1517.72651256,1513.4840603,1533.93592965,,20,0.0325
../benchmarks/combined21,0,0,0,0,0,1,1,1,2,1,2,44,23,43,44,0.000206309,78664,5165484,603,112,267.23,Y,21,combined21_timing.csv,12.9082639594,0.0,0.0,1.95743718593,0.0,0.0,1.95193969849,0.0,0.0,1543.1020603,3.17722110553,1539.91057286,1535.49488442,1558.19773869,,21,0.032372
../benchmarks/combined22,0,0,0,0,0,1,1,1,2,2,1,44,23,42,44,0.000206309,78871,5164972,603,112,283.44,Y,22,combined22_timing.csv,12.4075276382,0.0,0.0,1.98209045226,0.0,0.0,1.97646231156,0.0,0.0,1451.8961005,3.04250251256,1448.83972362,1444.48091457,1466.49909548,,22,0.032388
../benchmarks/combined23,0,0,0,0,0,1,1,1,2,2,2,44,23,43,44,0.000221045,78708,5164972,603,112,277.93,Y,23,combined23_timing.csv,11.6129487179,0.0,0.0,2.09993969849,0.0,0.0,2.09426130653,0.0,0.0,1485.33176382,3.09063959391,1482.22770352,1477.82523116,1499.42603015,,23,0.032468
../benchmarks/combined24,0,0,0,0,0,1,2,0,1,1,1,47,23,47,44,2.36004e-05,84522,6233121,697,112,276.62,Y,24,combined24_timing.csv,12.9851683673,0.0,0.0,2.07799497487,0.0,0.0,2.0723718593,0.0,0.0,1684.42004523,3.37170707071,1681.0331809,1676.56138693,1699.67472362,,24,0.032515
../benchmarks/combined25,0,0,0,0,0,1,2,0,1,1,2,47,23,47,44,2.26927e-05,84451,6233121,697,112,276.31,Y,25,combined25_timing.csv,12.9620153846,0.0,0.0,2.02522613065,0.0,0.0,2.01922613065,0.0,0.0,1683.86824623,3.33670707071,1680.51384925,1676.13277387,1699.04984925,,25,0.032429
../benchmarks/combined26,0,0,0,0,0,1,2,0,1,2,1,47,23,47,44,2.26927e-05,84660,6236705,699,112,277.31,Y,26,combined26_timing.csv,13.0050351759,0.0,0.0,1.88452763819,0.0,0.0,1.87925125628,0.0,0.0,1679.23482915,3.29289949749,1675.92819598,1671.41243719,1694.34226131,,26,0.032431
../benchmarks/combined27,0,0,0,0,0,1,2,0,1,2,2,47,23,47,44,2.1785e-05,84498,6236705,699,112,272.1,Y,27,combined27_timing.csv,13.1774949495,0.0,0.0,1.72168341709,0.0,0.0,1.7163919598,0.0,0.0,1706.09750754,3.21911111111,1702.84982915,1698.4411206,1721.23276382,,27,0.032457
../benchmarks/combined28,0,0,0,0,0,1,2,0,2,1,1,66,34,70,80,2.20167e-05,114493,8755354,916,204,266.8,Y,28,combined28_timing.csv,13.9764522613,0.0,0.0,2.03424120603,0.0,0.0,2.02855778894,0.0,0.0,1929.82235678,3.54963316583,1926.2568392,1921.73089447,1946.05427136,,28,0.032535
../benchmarks/combined29,0,0,0,0,0,1,2,0,2,1,2,66,34,70,80,2.20167e-05,114326,8755354,916,204,273.82,Y,29,combined29_timing.csv,12.5107979798,0.0,0.0,1.93404522613,0.0,0.0,1.9286281407,0.0,0.0,1868.00299497,3.18470351759,1864.80379899,1860.41170854,1882.65552764,,29,0.032401
../benchmarks/combined30,0,0,0,0,0,1,2,0,2,2,1,66,34,70,80,2.20167e-05,114548,8754330,916,204,268.88,Y,30,combined30_timing.csv,13.3141919192,0.0,0.0,2.05767839196,0.0,0.0,2.05227638191,0.0,0.0,1904.44366332,3.42522613065,1901.00940704,1896.58334673,1920.01557789,,30,0.032479
../benchmarks/combined31,0,0,0,0,0,1,2,0,2,2,2,66,34,70,80,2.35893e-05,114336,8754330,916,204,273.22,Y,31,combined31_timing.csv,12.7830203046,0.0,0.0,1.78024120603,0.0,0.0,1.77458291457,0.0,0.0,1876.06364824,3.23398492462,1872.80823116,1868.41162312,1890.81939698,,31,0.032372
../benchmarks/combined32,0,0,0,0,0,1,2,1,1,1,1,43,20,37,44,4.13065e-05,80919,5907248,650,112,271.88,Y,32,combined32_timing.csv,12.6663939394,0.0,0.0,1.866,0.0,0.0,1.86061809045,0.0,0.0,1525.20021106,3.25043434343,1521.93938693,1517.56867337,1539.99542714,,32,0.032448
../benchmarks/combined33,0,0,0,0,0,1,2,1,1,1,2,43,20,37,44,3.17742e-05,80791,5907248,650,112,271.51,Y,33,combined33_timing.csv,12.3120954774,0.0,0.0,2.1450201005,0.0,0.0,2.13987437186,0.0,0.0,1523.92219598,3.23830653266,1520.66636181,1516.22009548,1538.59633166,,33,0.032325
../benchmarks/combined34,0,0,0,0,0,1,2,1,1,2,1,43,20,37,44,3.17742e-05,81011,5910832,652,112,271.44,Y,34,combined34_timing.csv,11.958,0.0,0.0,2.16207035176,0.0,0.0,2.15705527638,0.0,0.0,1520.43626131,3.2656281407,1517.16290452,1512.85375879,1534.81899497,,34,0.032424
../benchmarks/combined35,0,0,0,0,0,1,2,1,1,2,2,43,20,37,44,2.54194e-05,80973,5910832,652,112,282.96,Y,35,combined35_timing.csv,13.4634517766,0.0,0.0,2.33844221106,0.0,0.0,2.33273869347,0.0,0.0,1460.61574874,3.3913718593,1457.21661307,1452.7800201,1476.61236181,,35,0.032389
../benchmarks/combined36,0,0,0,0,0,1,2,1,2,1,1,58,28,48,88,3.85347e-05,111793,7950492,835,224,264.55,Y,36,combined36_timing.csv,14.0139949495,0.0,0.0,2.05176884422,0.0,0.0,2.04603517588,0.0,0.0,1558.91948744,3.62530150754,1555.28557789,1550.78645226,1575.17547739,,36,0.032653
../benchmarks/combined37,0,0,0,0,0,1,2,1,2,1,2,58,28,48,88,3.85347e-05,111722,7950492,835,224,239.69,Y,37,combined37_timing.csv,12.7464422111,0.0,0.0,1.68865829146,0.0,0.0,1.68296984925,0.0,0.0,1711.58012563,3.22367336683,1708.34838191,1704.05951256,1726.2239196,,37,0.03242
../benchmarks/combined38,0,0,0,0,0,1,2,1,2,2,1,58,28,48,88,3.85347e-05,111927,7949468,835,224,276.77,Y,38,combined38_timing.csv,12.8335380711,0.0,0.0,1.92056281407,0.0,0.0,1.91521105528,0.0,0.0,1486.36353266,3.29526130653,1483.05992965,1478.6481005,1501.33125628,,38,0.032413
../benchmarks/combined39,0,0,0,0,0,1,2,1,2,2,2,58,28,48,88,4.12872e-05,111818,7949468,835,224,267.16,Y,39,combined39_timing.csv,13.4546615385,0.0,0.0,1.72821105528,0.0,0.0,1.72261809045,0.0,0.0,1541.5328995,3.37638190955,1538.14803015,1533.66406533,1556.89396985,,39,0.032389
../benchmarks/combined40,0,0,0,0,0,2,1,0,1,1,1,35,17,35,22,5.50713e-05,65959,4593280,546,56,279.17,Y,40,combined40_timing.csv,12.9663869347,0.0,0.0,1.98586934673,0.0,0.0,1.98050251256,0.0,0.0,1665.36945226,3.35427638191,1662.00709045,1657.50393467,1680.53241206,,40,0.032493
../benchmarks/combined41,0,0,0,0,0,2,1,0,1,1,2,35,17,34,22,5.51015e-05,65568,4324864,529,56,276.08,Y,41,combined41_timing.csv,13.5001919192,0.0,0.0,2.31561809045,0.0,0.0,2.3097638191,0.0,0.0,1684.89532663,3.40885427136,1681.46659296,1676.99393467,1700.92487437,,41,0.032418
../benchmarks/combined42,0,0,0,0,0,2,1,0,1,2,1,35,17,34,22,5.14281e-05,65612,4326656,527,56,269.83,Y,42,combined42_timing.csv,12.9270100503,0.0,0.0,2.03834170854,0.0,0.0,2.03295477387,0.0,0.0,1722.87623618,3.2684321608,1719.58151256,1715.1368593,1738.07824121,,42,0.032387
../benchmarks/combined43,0,0,0,0,0,2,1,0,1,2,2,35,17,34,22,5.1424e-05,65573,4324352,529,56,259.0,Y,43,combined43_timing.csv,13.2497020202,0.0,0.0,1.73850251256,0.0,0.0,1.7333718593,0.0,0.0,1790.36910553,3.40586432161,1786.95422111,1782.45523116,1805.60713568,,43,0.032419
../benchmarks/combined44,0,0,0,0,0,2,1,0,2,1,1,45,23,48,40,5.13999e-05,80984,5981501,669,102,268.09,Y,44,combined44_timing.csv,13.0266243655,0.0,0.0,1.86025628141,0.0,0.0,1.85486934673,0.0,0.0,1911.98367839,3.36640909091,1908.60607035,1904.35290955,1927.08462312,,44,0.032399
../benchmarks/combined45,0,0,0,0,0,2,1,0,2,1,2,44,23,47,40,5.1424e-05,80434,5702101,656,102,270.48,Y,45,combined45_timing.csv,13.2700154639,0.0,0.0,1.96970351759,0.0,0.0,1.96388442211,0.0,0.0,1896.41336683,3.42881909548,1892.97055276,1888.5040804,1911.95226131,,45,0.032512
../benchmarks/combined46,0,0,0,0,0,2,1,0,2,2,1,45,23,47,40,5.1424e-05,80692,5701589,654,102,284.17,Y,46,combined46_timing.csv,13.0527373737,0.0,0.0,2.2379798995,0.0,0.0,2.2323718593,0.0,0.0,1802.14156281,3.44330964467,1798.6930402,1794.24981407,1817.62522613,,46,0.032397
../benchmarks/combined47,0,0,0,0,0,2,1,0,2,2,2,45,23,47,40,5.50972e-05,80588,5701589,654,102,285.7,Y,47,combined47_timing.csv,11.985989899,0.0,0.0,1.78090954774,0.0,0.0,1.77575376884,0.0,0.0,1788.54345729,3.04982914573,1785.47978392,1781.16619598,1802.52321608,,47,0.032432
../benchmarks/combined48,0,0,0,0,0,2,1,1,1,1,1,32,15,29,22,0.000220285,62632,4468707,528,56,273.97,Y,48,combined48_timing.csv,12.5083131313,0.0,0.0,1.90153768844,0.0,0.0,1.89603517588,0.0,0.0,1521.73280402,3.17327135678,1518.54529648,1514.16975377,1536.39256281,,48,0.032486
../benchmarks/combined49,0,0,0,0,0,2,1,1,1,1,2,32,15,28,22,0.000220406,62307,4201059,509,56,276.7,Y,49,combined49_timing.csv,12.6997727273,0.0,0.0,1.79932663317,0.0,0.0,1.79393969849,0.0,0.0,1493.964,3.28408040201,1490.67138191,1486.37380402,1508.64346734,,49,0.032392
