ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Tracking1_Kernel,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Raycast_CreateICPMaps_Kernel,Fusion,Fusion_allocate,Fusion_integrate,Fusion_integrate_Kernel,Total_time,Unnamed: 15,ID,ate
../benchmarks/raycasting15,0,0,0,0,1,0,1,0,31,14,21,19,0.234375,67533,2522162,449,49,288.6,Y,15,raycasting15_timing.csv,9.91533668342,0.0,0.0,50.5550452261,2.21353266332,0.0,48.3327386935,0.0,15.4576852261,10.5649698492,2.95891457286,7.59447738693,0.0,71.2074371859,,15,0.031518
../benchmarks/raycasting16,0,0,0,0,1,0,1,1,32,15,23,22,0.234375,63000,3661618,469,57,272.77,Y,16,raycasting16_timing.csv,10.2934924623,0.0,0.0,51.7035778894,2.39045226131,0.0,49.3041909548,0.0,16.466960603,10.8043517588,3.02106532663,7.77212060302,0.0,72.9888442211,,16,0.031533
../benchmarks/raycasting17,0,0,0,0,1,0,1,2,33,15,24,29,0.234375,66013,3788570,488,74,272.1,Y,17,raycasting17_timing.csv,10.0584545455,0.0,0.0,44.9813919598,2.21214070352,0.0,42.7604974874,0.0,9.85577045226,10.3348944724,2.91289949749,7.41149748744,0.0,65.551959799,,17,0.031685
../benchmarks/raycasting18,0,0,0,0,1,1,0,0,32,15,23,16,5.72205e-05,65888,2693008,471,41,260.01,Y,18,raycasting18_timing.csv,11.0153819095,0.0,0.0,148.673407035,2.29122110553,0.0,146.371396985,0.0,113.358399497,10.4584723618,3.05453266332,7.38475376884,0.0,170.377939698,,18,0.031345
../benchmarks/raycasting19,0,0,0,0,1,1,0,1,33,15,26,18,5.72205e-05,61525,4120592,505,47,271.51,Y,19,raycasting19_timing.csv,11.0386030151,0.0,0.0,125.908703518,2.28389949749,0.0,123.615718593,0.0,90.6531326633,10.6861407035,3.07498994975,7.60008542714,0.0,147.813668342,,19,0.031427
../benchmarks/raycasting20,0,0,0,0,1,1,0,2,35,16,26,25,5.72205e-05,64557,4485116,534,64,238.66,Y,20,raycasting20_timing.csv,10.3837525253,0.0,0.0,87.3985577889,2.18534170854,0.0,85.2040050251,0.0,52.3487366834,10.4625075377,2.98348743719,7.4682361809,0.0,108.443768844,,20,0.031587
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,31,14,21,18,0.234375,67234,2522162,449,47,298.68,Y,21,raycasting21_timing.csv,10.1942828283,0.0,0.0,50.3463366834,2.17787939698,0.0,48.1595678392,0.0,15.3060226633,10.6142361809,2.945,7.65813567839,0.0,71.3199497487,,21,0.031634
../benchmarks/raycasting22,0,0,0,0,1,1,1,1,31,14,23,21,0.234375,62631,3661618,469,53,280.19,Y,22,raycasting22_timing.csv,10.2868787879,0.0,0.0,51.3750251256,2.37906532663,0.0,48.9857537688,0.0,16.0692801508,10.584241206,2.98218592965,7.59017085427,0.0,72.4217085427,,22,0.031657
../benchmarks/raycasting23,0,0,0,0,1,1,1,2,33,15,24,27,0.234375,65735,3788570,488,70,285.3,Y,23,raycasting23_timing.csv,9.77589393939,0.0,0.0,44.9901105528,2.22928140704,0.0,42.7523919598,0.0,9.86532693467,10.5138542714,2.91740201005,7.58621105528,0.0,65.4398994975,,23,0.031592
../benchmarks/raycasting27,0,0,0,1,0,0,1,0,33,15,25,19,0.234375,64515,4451378,513,49,294.2,Y,27,raycasting27_timing.csv,10.1540452261,0.0,0.0,45.9766834171,2.29995979899,0.0,43.6669447236,0.0,10.7042625628,10.603959799,2.92087437186,7.6718241206,0.0,66.9228140704,,27,0.031481
../benchmarks/raycasting28,0,0,0,1,0,0,1,1,33,15,26,22,0.234375,63801,4542770,524,57,266.38,Y,28,raycasting28_timing.csv,10.4817575758,0.0,0.0,45.6167738693,2.23613567839,0.0,43.3721306533,0.0,10.6272357286,10.4919547739,2.97089949749,7.51068341709,0.0,66.7659296482,,28,0.031428
