ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,param_15,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/icp221,0,0,1,0,0,2,0,8,1,0,2,1,89,45,52,56,2.54235e-05,35184,629829,-1,65,-1,N
../benchmarks/icp240,0,0,1,0,1,0,0,2,0,0,2,1,73,38,51,52,3.19268e-05,23844,586593,220,60,116.83,Y
../benchmarks/icp241,0,0,1,0,1,0,0,2,1,0,2,1,73,38,50,52,3.19268e-05,24168,612469,229,60,117.3,Y
../benchmarks/icp252,0,0,1,0,1,1,0,2,0,0,2,1,71,36,52,52,3.19268e-05,24158,586127,219,60,117.75,Y
../benchmarks/icp253,0,0,1,0,1,1,0,2,1,0,2,1,70,36,51,52,3.19268e-05,24206,611395,226,60,118.52,Y
../benchmarks/icp264,0,0,1,0,1,2,0,2,0,0,2,1,80,41,58,52,3.19268e-05,26257,606251,243,60,116.21,Y
../benchmarks/icp265,0,0,1,0,1,2,0,2,1,0,2,1,79,40,57,52,3.19268e-05,26226,631519,250,60,114.82,Y
../benchmarks/icp266,0,0,1,0,1,2,0,4,0,0,2,1,85,44,59,52,3.19268e-05,30161,613167,243,60,117.34,Y
../benchmarks/icp267,0,0,1,0,1,2,0,4,1,0,2,1,83,42,58,52,3.19268e-05,29515,638435,250,60,112.85,Y
../benchmarks/icp288,0,0,1,1,0,0,0,2,0,0,2,1,70,35,56,70,2.40687e-05,24280,597251,252,80,139.68,Y
../benchmarks/icp289,0,0,1,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y
../benchmarks/icp290,0,0,1,1,0,0,1,2,0,0,2,1,85,44,54,70,9.76232e-05,33039,605977,-1,80,-1,N
../benchmarks/icp291,0,0,1,1,0,0,1,2,1,0,2,1,83,43,51,70,0.0998687,33087,601711,-1,80,-1,N
../benchmarks/icp300,0,0,1,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y
../benchmarks/icp301,0,0,1,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y
../benchmarks/icp302,0,0,1,1,0,1,1,2,0,0,2,1,85,44,54,70,9.76232e-05,32999,606031,-1,80,-1,N
../benchmarks/icp303,0,0,1,1,0,1,1,2,1,0,2,1,83,43,51,70,0.0998687,33123,602548,-1,80,-1,N
../benchmarks/icp312,0,0,1,1,0,2,0,2,0,0,2,1,73,37,55,70,2.40687e-05,26455,597536,259,80,137.06,Y
../benchmarks/icp313,0,0,1,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25981,620484,263,80,141.12,Y
../benchmarks/icp314,0,0,1,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30262,605476,259,80,133.77,Y
../benchmarks/icp315,0,0,1,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29189,628424,263,80,141.5,Y
../benchmarks/icp316,0,0,1,1,0,2,0,8,0,0,2,1,90,46,56,70,2.40687e-05,37785,605476,-1,80,-1,N
../benchmarks/icp317,0,0,1,1,0,2,0,8,1,0,2,1,85,43,55,70,9.61809e-05,35798,628424,-1,80,-1,N
../benchmarks/icp336,0,0,1,1,1,0,0,2,0,0,2,1,73,38,55,70,2.88825e-05,24619,588418,256,80,136.87,Y
../benchmarks/icp337,0,0,1,1,1,0,0,2,1,0,2,1,73,38,55,70,9.61809e-05,24449,612176,260,80,136.98,Y
../benchmarks/icp348,0,0,1,1,1,1,0,2,0,0,2,1,70,36,55,70,2.40687e-05,24960,588803,257,80,143.24,Y
../benchmarks/icp349,0,0,1,1,1,1,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24581,611806,262,80,143.88,Y
../benchmarks/icp350,0,0,1,1,1,1,1,2,0,0,2,1,87,45,55,70,9.76232e-05,34197,596790,-1,80,-1,N
