ID,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8,param_9,param_10,param_11,param_12,param_13,param_14,estim_throughput_0,logic,mem,ram,dsp,fmax,fit
../benchmarks/combined251,1,1,0,0,0,1,1,1,1,1,2,68,36,82,48,0.000121503,18647,1739601,312,58,100.32,Y
../benchmarks/combined252,1,1,0,0,0,1,1,1,1,2,1,69,36,81,48,0.000121503,18768,1739167,311,58,99.22,Y
../benchmarks/combined253,1,1,0,0,0,1,1,1,1,2,2,69,36,83,48,0.000121503,18691,1739089,312,58,98.77,Y
../benchmarks/combined275,1,1,0,0,0,2,1,0,1,1,2,76,40,97,48,3.24209e-05,21330,1866831,373,58,102.18,Y
../benchmarks/combined276,1,1,0,0,0,2,1,0,1,2,1,77,41,96,48,3.02595e-05,21414,1866961,368,58,100.07,Y
../benchmarks/combined277,1,1,0,0,0,2,1,0,1,2,2,77,40,97,48,3.02286e-05,21322,1864495,370,58,99.37,Y
../benchmarks/combined282,1,1,0,0,0,2,1,1,1,1,1,65,33,80,48,0.000128728,18758,1871511,338,58,101.3,Y
../benchmarks/combined283,1,1,0,0,0,2,1,1,1,1,2,64,33,78,48,0.000129589,18663,1802124,327,58,99.66,Y
../benchmarks/combined284,1,1,0,0,0,2,1,1,1,2,1,65,33,76,48,0.000120949,18819,1801431,321,58,100.87,Y
../benchmarks/combined285,1,1,0,0,0,2,1,1,1,2,2,65,33,77,48,0.000120826,18703,1799177,324,58,96.92,Y
