ID_x,knob_point_interpolation,knob_normal_interpolation,knob_nabla_unroll,knob_hessian_unroll,knob_branch,knob_nabla_sumtype,knob_hessian_sumtype,knob_shift_register,knob_flatten_loop,knob_use_wi,knob_pipe_depth,knob_compute_units,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/icp97,0,0,0,1,0,0,0,2,1,0,2,1,69,35,55,70,9.61809e-05,24030,620675,256,80,141.4,Y,97,icp97_timing.csv,403.060525253,0.0,719.318808081,48.4146767677,0.0,670.783080808,0.0,724.489525253,95.6988080808,628.709616162,1877.92555556,,97,0.058913
../benchmarks/icp108,0,0,0,1,0,1,0,2,0,0,2,1,71,36,57,70,2.40687e-05,24249,596979,251,80,142.3,Y,108,icp108_timing.csv,400.667757576,0.0,719.393828283,48.1371010101,0.0,671.135707071,0.0,719.473767677,92.6240606061,626.768636364,1870.66010101,,108,0.059494
../benchmarks/icp109,0,0,0,1,0,1,0,2,1,0,2,1,70,35,56,70,9.61809e-05,23974,621080,256,80,137.34,Y,109,icp109_timing.csv,415.886343434,0.0,719.141737374,48.1514343434,0.0,670.868969697,0.0,722.363565657,93.6436161616,628.638737374,1888.00141414,,109,0.058913
../benchmarks/icp120,0,0,0,1,0,2,0,2,0,0,2,1,73,37,56,70,2.40687e-05,26438,597592,259,80,136.25,Y,120,icp120_timing.csv,401.781343434,0.0,718.294242424,48.4585050505,0.0,669.71410101,0.0,721.854373737,93.5875252525,628.185414141,1873.32383838,,120,0.059506
../benchmarks/icp121,0,0,0,1,0,2,0,2,1,0,2,1,72,36,55,70,9.61809e-05,25963,620484,263,80,142.65,Y,121,icp121_timing.csv,388.911383838,0.0,717.891080808,48.1509494949,0.0,669.619363636,0.0,718.927989899,92.7490606061,626.093131313,1857.10454545,,121,0.059564
../benchmarks/icp122,0,0,0,1,0,2,0,4,0,0,2,1,78,40,56,70,2.40687e-05,30258,605532,259,80,128.18,Y,122,icp122_timing.csv,420.181212121,0.0,718.372080808,48.3356565657,0.0,669.912848485,0.0,717.385545455,91.2387171717,626.065343434,1886.64909091,,122,0.059807
../benchmarks/icp123,0,0,0,1,0,2,0,4,1,0,2,1,76,38,55,70,9.61809e-05,29240,628424,263,80,134.58,Y,123,icp123_timing.csv,404.564979798,0.0,722.360161616,48.1646262626,0.0,674.075080808,0.0,716.432111111,91.9169393939,624.433121212,1873.72757576,,123,0.058859
../benchmarks/icp144,0,0,0,1,1,0,0,2,0,0,2,1,75,39,56,65,2.88825e-05,24758,586958,248,75,132.89,Y,144,icp144_timing.csv,468.608373737,0.0,721.667515152,48.3018282828,0.0,673.245161616,0.0,718.500575758,90.6439292929,627.778848485,1939.60878788,,144,0.05952
../benchmarks/icp145,0,0,0,1,1,0,0,2,1,0,2,1,75,39,55,65,9.61809e-05,24820,612193,255,75,135.06,Y,145,icp145_timing.csv,466.056949495,0.0,717.487474747,48.0706666667,0.0,669.295171717,0.0,715.602181818,88.6615858586,626.861565657,1930.12888889,,145,0.059275
../benchmarks/icp156,0,0,0,1,1,1,0,2,0,0,2,1,72,37,55,65,2.88825e-05,25446,586492,247,75,133.01,Y,156,icp156_timing.csv,429.259111111,0.0,714.579242424,48.3388080808,0.0,666.120949495,0.0,715.183444444,88.6913535354,626.412979798,1889.72717172,,156,0.060907
