ID_x,knob_interpolate,knob_refine,knob_index_cache,knob_hash_clcache,knob_voxel_clcache,knob_hardcode_size,knob_use_wi,knob_minmax,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_EstimatedRaycast,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/raycasting21,0,0,0,0,1,1,1,0,70,34,40,42,0.195312,24350,900282,216,41,132.81,Y,21,raycasting21_timing.csv,521.667585859,0,224.999505051,49.5632323232,0,175.314666667,47.43129293,0,726.494474747,95.8115555556,630.598717172,1503.96070707,,21,0.054903
../benchmarks/raycasting22,0,0,0,0,1,1,1,1,72,34,43,47,0.195312,23398,958914,225,47,133.08,Y,22,raycasting22_timing.csv,521.314080808,0,222.710494949,48.8407373737,0,173.750555556,45.867181819,0,720.759474747,90.9260505051,629.753868687,1495.69191919,,22,0.055006
../benchmarks/raycasting23,0,0,0,0,1,1,1,2,77,37,47,63,0.195312,25721,1058180,266,64,131.04,Y,23,raycasting23_timing.csv,521.326252525,0,206.454010101,49.8830808081,0,156.451222222,28.567848485,0,724.41369697,93.885,630.444757576,1483.50030303,,23,0.054764
../benchmarks/raycasting27,0,0,0,1,0,0,1,0,80,37,54,44,0.195312,25101,1168591,250,43,129.22,Y,27,raycasting27_timing.csv,520.188787879,0,213.683030303,49.8358888889,0,163.726494949,35.843121212,0,724.193858586,94.3083535354,629.803080808,1488.66575758,,27,0.054559
../benchmarks/raycasting28,0,0,0,1,0,0,1,1,80,38,58,51,0.195312,24325,1226711,259,51,132.57,Y,28,raycasting28_timing.csv,519.813323232,0,210.240616162,49.6770606061,0,160.444262626,32.560888889,0,724.091686869,93.420969697,630.587282828,1484.57949495,,28,0.056108
../benchmarks/raycasting29,0,0,0,1,0,0,1,2,85,41,61,66,0.195312,26628,1325977,300,68,131.82,Y,29,raycasting29_timing.csv,520.350585859,0,202.627161616,49.8762929293,0,152.629151515,24.745777778,0,727.05889899,93.9828585859,632.991141414,1480.52949495,,29,0.054656
../benchmarks/raycasting33,0,0,0,1,0,1,1,0,80,37,54,42,0.195312,24932,1168591,250,41,128.5,Y,33,raycasting33_timing.csv,519.539444444,0,215.207888889,49.6374949495,0,165.449767677,37.56639394,0,723.341171717,94.6368383838,628.623434343,1488.23747475,,33,0.056089
../benchmarks/raycasting34,0,0,0,1,0,1,1,1,78,37,57,47,0.195312,23940,1226711,259,47,128.43,Y,34,raycasting34_timing.csv,519.893676768,0,211.318565657,48.1415353535,0,163.059525253,35.176151516,0,708.648131313,85.8201313131,622.751535354,1470.95707071,,34,0.056009
../benchmarks/raycasting35,0,0,0,1,0,1,1,2,83,40,61,63,0.195312,26291,1325977,300,64,129.53,Y,35,raycasting35_timing.csv,519.385757576,0,202.948252525,48.218,0,154.614282828,26.730909091,0,710.515646465,86.551969697,623.88640404,1463.92939394,,35,0.055767
../benchmarks/raycasting39,0,0,0,1,1,0,1,0,82,38,56,44,0.195312,25238,1208271,255,43,127.01,Y,39,raycasting39_timing.csv,524.238111111,0,210.408171717,49.5682323232,0,160.719131313,32.835757576,0,717.735616162,90.3017979798,627.353464646,1483.75010101,,39,0.054814
../benchmarks/raycasting40,0,0,0,1,1,0,1,1,82,39,60,51,0.195312,24429,1266391,264,51,136.46,Y,40,raycasting40_timing.csv,520.037979798,0,207.681555556,49.9092626263,0,157.551464646,29.668090909,0,725.17520202,94.8274242424,630.263989899,1483.35333333,,40,0.055745
../benchmarks/raycasting41,0,0,0,1,1,0,1,2,87,41,63,66,0.195312,26741,1365657,305,68,132.88,Y,41,raycasting41_timing.csv,521.323767677,0,201.508525253,49.7075656566,0,151.68130303,23.797929293,0,724.552575758,93.556010101,630.912686869,1478.29878788,,41,0.054764
../benchmarks/raycasting45,0,0,0,1,1,1,1,0,82,37,56,42,0.195312,24998,1208271,255,41,130.78,Y,45,raycasting45_timing.csv,522.182131313,0,209.489343434,49.6126868687,0,159.756171717,31.87279798,0,721.454909091,90.4734242424,630.897131313,1484.1740404,,45,0.054824
../benchmarks/raycasting46,0,0,0,1,1,1,1,1,80,38,59,47,0.195312,24031,1266391,264,47,132.76,Y,46,raycasting46_timing.csv,520.839181818,0,206.924242424,48.2769191919,0,158.531171717,30.64779798,0,712.134494949,87.1871414141,624.870525253,1470.88222222,,46,0.054944
../benchmarks/raycasting47,0,0,0,1,1,1,1,2,85,40,63,63,0.195312,26289,1365657,305,64,130.82,Y,47,raycasting47_timing.csv,519.932373737,0,199.247121212,47.9344545455,0,151.195606061,23.312232324,0,708.566494949,85.9068383838,622.585080808,1458.89474747,,47,0.054822
../benchmarks/raycasting48,0,0,1,0,0,0,0,0,80,39,54,38,4.76837E-005,24703,1187633,292,40,129.13,Y,48,raycasting48_timing.csv,518.19979798,0,1159.73970707,49.2513636364,0,1110.36420202,982.480828283,0,714.161787879,88.1046060606,625.98130303,2422.67212121,,48,0.054841
../benchmarks/raycasting49,0,0,1,0,0,0,0,1,79,40,57,46,4.76837E-005,23856,1256099,304,48,124.05,Y,49,raycasting49_timing.csv,517.029676768,0,1039.863,49.2420505051,0,990.502020202,862.618646465,0,712.472707071,86.9250707071,625.473969697,2299.92787879,,49,0.05547
../benchmarks/raycasting50,0,0,1,0,0,0,0,2,85,42,59,61,4.76837E-005,26473,1325590,322,65,127.35,Y,50,raycasting50_timing.csv,516.876,0,356.73159596,47.9931212121,0,308.620686869,180.737313132,0,706.883151515,85.7614545455,621.048626263,1611.57878788,,50,0.05565
