ID_x,knob_simd,knob_compute_units,knob_xyz_loop,knob_entryid_loop,knob_entryid_num_wi,knob_hardcode_size,knob_cache_voxels,knob_xyz_loop_flat,knob_xyz_unroll,knob_entryid_unroll,knob_voxel_unroll,knob_voxel_out_unroll,knob_depth_local,knob_branch_pos,knob_unused,estim_logic,estim_reg,estim_mem,estim_dsp,estim_throughput_0,time,logic,mem,ram,dsp,fmax,fit,ID_int,ID_y,Tracking1,Tracking2,Raycast,Raycast_CreateDepths,Raycast_CreatePointCloud,Raycast_CreateICPMaps,Raycast_ForwardRender,Fusion,Fusion_allocate,Fusion_integrate,Total_time,Unnamed: 12,ID,ate
../benchmarks/depth_fusion341,1,1,0,0,64,1,2,0,2,1,1,2,0,1,1,72,36,65,55,3.69657E-005,999,19156,789236,251,70,136.83,Y,341,depth_fusion341_timing.csv,515.783787879,0,712.272474747,49.2175252525,0,662.941818182,0,144.140181818,87.0463838384,57.0160909091,1402.58232323,,341,0.061849
../benchmarks/depth_fusion344,1,1,0,0,64,1,2,0,2,1,2,1,0,0,1,74,37,67,55,4.13902E-005,999,19464,820434,255,70,132.94,Y,344,depth_fusion344_timing.csv,515.889515152,0,716.093616162,49.5234242424,0,666.456161616,0,149.920555556,89.7869292929,60.0548989899,1412.51909091,,344,0.061277
../benchmarks/depth_fusion345,1,1,0,0,64,1,2,0,2,1,2,1,0,1,1,72,36,64,55,3.98092E-005,999,19307,789270,249,70,132.97,Y,345,depth_fusion345_timing.csv,517.677282828,0,714.066626263,47.9636464646,0,665.989131313,0,145.930939394,85.5986969697,60.2557474747,1408.83494949,,345,0.061145
../benchmarks/depth_fusion348,1,1,0,0,64,1,2,0,2,1,2,2,0,0,1,73,37,69,55,4.43466E-005,999,19379,820336,256,70,137.24,Y,348,depth_fusion348_timing.csv,515.46240404,0,718.736040404,49.6557777778,0,668.963494949,0,136.129969697,89.5312121212,46.5204747475,1400.36171717,,348,0.059952
../benchmarks/depth_fusion349,1,1,0,0,64,1,2,0,2,1,2,2,0,1,1,72,36,65,55,3.98092E-005,999,19248,789108,250,70,132.78,Y,349,depth_fusion349_timing.csv,515.696686869,0,715.914191919,49.5924141414,0,666.206181818,0,135.790252525,87.929030303,47.7830909091,1397.9259596,,349,0.061849
../benchmarks/depth_fusion368,1,1,0,0,64,1,2,1,1,1,1,1,0,0,1,60,32,57,31,0.000176413,999,20525,1125473,223,39,119.71,Y,368,depth_fusion368_timing.csv,514.987171717,0,712.215262626,49.6147777778,0,662.484818182,0,4402.50161616,87.5807171717,4314.83060606,5659.95484848,,368,0.061923
../benchmarks/depth_fusion369,1,1,0,0,64,1,2,1,1,1,1,1,0,1,1,52,26,41,31,0.000152892,999,12587,676778,162,39,117.43,Y,369,depth_fusion369_timing.csv,515.227505051,0,717.01720202,49.5802121212,0,667.320494949,0,166.832454545,88.4197878788,78.3328282828,1429.09050505,,369,0.059571
../benchmarks/depth_fusion372,1,1,0,0,64,1,2,1,1,1,1,2,0,0,1,60,32,50,31,0.000177456,999,20323,869289,189,39,123.94,Y,372,depth_fusion372_timing.csv,515.397212121,0,713.807767677,49.5882626263,0,664.107181818,0,4257.40393939,88.9912323232,4168.32282828,5516.59707071,,372,0.059523
../benchmarks/depth_fusion373,1,1,0,0,64,1,2,1,1,1,1,2,0,1,1,52,26,39,31,0.000153795,999,12438,619828,154,39,125.06,Y,373,depth_fusion373_timing.csv,519.086232323,0,715.467161616,48.0343232323,0,667.321818182,0,146.133949495,85.5981515152,60.4607272727,1411.85484848,,373,0.059658
../benchmarks/depth_fusion376,1,1,0,0,64,1,2,1,1,1,2,1,0,0,1,61,32,50,31,0.000165626,999,20600,871545,188,39,119.04,Y,376,depth_fusion376_timing.csv,516.188181818,0,713.888212121,49.2243939394,0,664.548151515,0,4418.44737374,87.6276868687,4330.73151515,5678.95262626,,376,0.061923
